Medalist,🏆 BIC,🥇 Gold,🥈 Silver,🥉 Bronze,Total,First,Last,Years,City,Region,Country,Status,Results
Blackman Cider Co.,0,0,2,2,4,2019,2019,1,Lockport,New York,USA,Active,https://ciderguide.com/blackman-cider-co/
Branch Out Cider,0,0,2,2,4,2014,2016,3,Fort Collins,Colorado,USA,Inactive,https://ciderguide.com/branch-out-cider/
Cidrerie Le Somnambule,0,0,2,2,4,2023,2023,1,Saint-Henri,Quebec,Canada,Active,https://ciderguide.com/cidrerie-le-somnambule/
Hudson Valley Farmhouse Cider,0,0,2,2,4,2018,2018,1,Staatsburg,New York,USA,Active,https://ciderguide.com/hudson-valley-farmhouse-cider/
McRitchie Winery & Ciderworks,0,0,2,2,4,2009,2013,3,Thurmond,North Carolina,USA,Active,https://ciderguide.com/mcritchie-winery-ciderworks/
Milk & Honey Ciders,0,0,2,2,4,2016,2016,1,St. Joseph,Minnesota,USA,Active,https://ciderguide.com/milk-honey-ciders/
New Salem Cider,0,0,2,2,4,2021,2021,1,New Salem,Massachusetts,USA,Active,https://ciderguide.com/new-salem-cider/
Paha Cider,0,0,2,2,4,2024,2024,1,Waverly,Iowa,USA,Active,https://ciderguide.com/paha-cider/
Rossbach Cider,0,0,2,2,4,2015,2021,3,Hranice,Karlovy Vary,Czechia,Inactive,https://ciderguide.com/rossbach-cider/
Russell Orchards,0,0,2,2,4,2011,2011,1,Ipswich,Massachusetts,USA,Active,https://ciderguide.com/russell-orchards/
Banter's Hard Cider,0,0,1,3,4,2017,2018,2,Stroudsburg,Pennsylvania,USA,Inactive,https://ciderguide.com/banters-hard-cider/
Big Belly Ciderworks,0,0,1,3,4,2016,2018,3,Empire,Michigan,USA,Inactive,https://ciderguide.com/big-belly-ciderworks/
Brooker's Cider,0,0,1,3,4,2022,2023,2,Scotch Bush,Ontario,Canada,Active,https://ciderguide.com/brookers-cider/
Cascadia Ciderworkers United,0,0,1,3,4,2013,2015,2,Portland,Oregon,USA,Inactive,https://ciderguide.com/cascadia-ciderworkers-united/
Ciderworks @ Story Tavern,0,0,1,3,4,2017,2022,3,Burbank,California,USA,Active,https://ciderguide.com/ciderworks-story-tavern/
Cidrerie de Menez-Brug,0,0,1,3,4,2016,2019,4,Fouesnant,Brittany,France,Active,https://ciderguide.com/cidrerie-de-menez-brug/
Gravity Vineyards and Winery,0,0,1,3,4,2021,2021,1,Baroda,Michigan,USA,Active,https://ciderguide.com/gravity-vineyards-and-winery/
Griffin Cider Works,0,0,1,3,4,2013,2017,2,Westlake,Ohio,USA,Inactive,https://ciderguide.com/griffin-cider-works/
Hardscrabble Cider,0,0,1,3,4,2016,2016,1,North Salem,New York,USA,Active,https://ciderguide.com/hardscrabble-cider/
Maeloc,0,0,1,3,4,2015,2015,1,Chantada,Galicia,Spain,Active,https://ciderguide.com/maeloc/
Star Cider,0,0,1,3,4,2016,2016,1,Clifton Springs,New York,USA,Active,https://ciderguide.com/star-cider/
Walkerville City Cidery,0,0,1,3,4,2019,2023,4,Windsor,Ontario,Canada,Active,https://ciderguide.com/walkerville-city-cidery/
Wilding Orchards,0,0,1,3,4,2021,2023,2,Brackney,Pennsylvania,USA,In Planning,https://ciderguide.com/wilding-orchards/
York County Cider,0,0,1,3,4,2018,2018,1,Fredericton,New Brunswick,Canada,Active,https://ciderguide.com/york-county-cider/
Bishop Cider Company,0,0,0,4,4,2018,2018,1,Fort Worth,Texas,USA,Active,https://ciderguide.com/bishop-cider-company/
Blueberry Hill Estates,0,0,0,4,4,2016,2018,2,Williams,Ontario,Canada,Active,https://ciderguide.com/blueberry-hill-estates/
Douglas Valley,0,0,0,4,4,2008,2008,1,Manistee,Michigan,USA,Inactive,https://ciderguide.com/douglas-valley/
Foxcraft Hard Cider,0,0,0,4,4,2015,2015,1,Santa Rosa,California,USA,Inactive,https://ciderguide.com/foxcraft-hard-cider/
Grand Illusion Hard Cider,0,0,0,4,4,2017,2019,3,Carlisle,Pennsylvania,USA,Active,https://ciderguide.com/grand-illusion-hard-cider/
Meraki Cider,0,0,0,4,4,2017,2017,1,Pismo Beach,California,USA,Inactive,https://ciderguide.com/meraki-cider/
Saro Cider,0,0,0,4,4,2019,2019,1,Lincoln,Nebraska,USA,Active,https://ciderguide.com/saro-cider/
Wildbranch Cider,2,0,0,1,3,2021,2023,2,Craftsbury,Vermont,USA,Active,https://ciderguide.com/wildbranch-cider/
Dead Horse Cider Co.,1,1,0,1,3,2021,2021,1,Winkler,Manitoba,Canada,Active,https://ciderguide.com/dead-horse-cider-co/
AVAL Cider,1,0,2,0,3,2023,2023,1,New York,New York,USA,Active,https://ciderguide.com/aval-cider/
Duxbury Cider Company,1,0,2,0,3,2024,2024,1,Meaford,Ontario,Canada,Active,https://ciderguide.com/duxbury-cider-company/
Les Vergers de Kermao,1,0,2,0,3,2017,2019,3,Gouesnac'h,Brittany,France,Active,https://ciderguide.com/les-vergers-de-kermao/
Adams Cider Company,1,0,1,1,3,2014,2018,3,Borrisoleigh,Tipperary,Ireland,Active,https://ciderguide.com/adams-cider-company/
Ambix Spirits,1,0,1,1,3,2023,2023,1,Sebastopol,California,USA,Active,https://ciderguide.com/ambix-spirits/
Chateau Morrisette,1,0,1,1,3,2018,2018,1,Floyd,Virginia,USA,Active,https://ciderguide.com/chateau-morrisette/
Fraser Valley Cider Company,1,0,1,1,3,2022,2022,1,Langley Township,British Columbia,Canada,Active,https://ciderguide.com/fraser-valley-cider-company/
Gnarly Pippin Cider House,0,2,0,1,3,2021,2021,1,Cleveland Heights,Ohio,USA,Inactive,https://ciderguide.com/gnarly-pippin-cider-house/
Bel Lago Winery,0,1,2,0,3,2015,2016,2,Cedar,Michigan,USA,Active,https://ciderguide.com/bel-lago-winery/
Woodlore Cider Co.,0,1,2,0,3,2023,2023,1,Brainerd,Minnesota,USA,Inactive,https://ciderguide.com/woodlore-cider-co/
Banditry Cider,0,1,1,1,3,2023,2023,1,Gibsons,British Columbia,Canada,Active,https://ciderguide.com/banditry-cider/
King Orchards,0,1,1,1,3,2023,2023,1,Central Lake,Michigan,USA,Active,https://ciderguide.com/king-orchards/
Loïc Raison,0,1,1,1,3,2018,2018,1,Domagné,Brittany,France,Active,https://ciderguide.com/loic-raison/
Manoff Market Gardens & Cidery,0,1,1,1,3,2023,2023,1,New Hope,Pennsylvania,USA,Active,https://ciderguide.com/manoff-market-gardens-cidery/
Stoneybrook Cider,0,1,1,1,3,2019,2022,3,South Hadley,Massachusetts,USA,Active,https://ciderguide.com/stoneybrook-cider/
Tempted Cider,0,1,1,1,3,2021,2021,1,Lisburn,Antrim,Northern Ireland,Active,https://ciderguide.com/tempted-cider/
The Infinite Monkey Theorem,0,1,0,2,3,2014,2017,3,Denver,Colorado,USA,Active,https://ciderguide.com/the-infinite-monkey-theorem/
Windfall Orchard,0,1,0,2,3,2016,2017,2,Cornwall,Vermont,USA,Active,https://ciderguide.com/windfall-orchard/
12 Corners Vineyards,0,0,3,0,3,2023,2023,1,Benton Harbor,Michigan,USA,Active,https://ciderguide.com/12-corners-vineyards/
Docendo Discitur,0,0,3,0,3,2022,2024,3,Villeneuve,Aosta Valley,Italy,Active,https://ciderguide.com/docendo-discitur/
E&J Gallo Winery,0,0,3,0,3,2008,2011,2,Modesto,California,USA,Active,https://ciderguide.com/ej-gallo-winery/
Farmgate Cider,0,0,3,0,3,2021,2023,2,Arnprior,Ontario,Canada,Active,https://ciderguide.com/farmgate-cider/
Kingston Creek Cider,0,0,3,0,3,2019,2021,2,Kingston,New Brunswick,Canada,Active,https://ciderguide.com/kingston-creek-cider/
Northyards Cider Co.,0,0,3,0,3,2023,2023,1,Salmon Arm,British Columbia,Canada,Active,https://ciderguide.com/northyards-cider-co/
101 Cider House,0,0,2,1,3,2016,2018,2,Westlake Village,California,USA,Active,https://ciderguide.com/101-cider-house/
5 Penny Hard Cider,0,0,2,1,3,2018,2019,2,Ontario,Ohio,USA,Inactive,https://ciderguide.com/5-penny-hard-cider/
Broken Brix,0,0,2,1,3,2021,2022,2,St. Charles,Illinois,USA,Active,https://ciderguide.com/broken-brix/
Carolina Distillery,0,0,2,1,3,2014,2017,2,Lenoir,North Carolina,USA,Inactive,https://ciderguide.com/carolina-distillery/
Carriage House Ciders,0,0,2,1,3,2024,2024,1,Benton Harbor,Michigan,USA,Active,https://ciderguide.com/carriage-house-ciders/
Crossmount Cider Company,0,0,2,1,3,2022,2022,1,Crossmount,Saskatchewan,Canada,Active,https://ciderguide.com/crossmount-cider-company/
Goat Rock Cider Company,0,0,2,1,3,2022,2022,1,Petaluma,California,USA,Active,https://ciderguide.com/goat-rock-cider-company/
Godfrey Run Cider Mill,0,0,2,1,3,2021,2021,1,Lake City,Pennsylvania,USA,Active,https://ciderguide.com/godfrey-run-cider-mill/
Manoir de Grandouet,0,0,2,1,3,2016,2019,2,Grandouet,Normandy,France,Active,https://ciderguide.com/manoir-de-grandouet/
North Shore Cider Company,0,0,2,1,3,2018,2019,2,Evanston,Illinois,USA,Inactive,https://ciderguide.com/north-shore-cider-company/
Overgrown Orchard,0,0,2,1,3,2019,2019,1,Gary,Indiana,USA,Inactive,https://ciderguide.com/overgrown-orchard/
Prototype Hard Cider,0,0,2,1,3,2017,2019,3,Lancaster,Pennsylvania,USA,Inactive,https://ciderguide.com/prototype-hard-cider/
Restoration Cider,0,0,2,1,3,2017,2017,1,Madison,Wisconsin,USA,Active,https://ciderguide.com/restoration-cider/
Sunnycider,0,0,2,1,3,2022,2022,1,Calgary,Alberta,Canada,Active,https://ciderguide.com/sunnycider/
Tapped Apple Cider & Winery,0,0,2,1,3,2023,2023,1,Westerly,Rhode Island,USA,Active,https://ciderguide.com/tapped-apple-cider-winery/
Three Thinkers Cider,0,0,2,1,3,2019,2021,2,Stateline,Nevada,USA,Inactive,https://ciderguide.com/three-thinkers-cider/
Wölffer Estate Vineyard,0,0,2,1,3,2022,2022,1,Sagaponack,New York,USA,Active,https://ciderguide.com/wolffer-estate-vineyard/
Worley's Cider,0,0,2,1,3,2015,2015,1,Shepton Mallet,Somerset,England,Active,https://ciderguide.com/worleys-cider/
Acme Cider Co.,0,0,1,2,3,2016,2017,2,Ada,Michigan,USA,Inactive,https://ciderguide.com/acme-cider-co/
Bayfield Winery & Blue Ox Cider,0,0,1,2,3,2021,2024,2,Bayfield,Wisconsin,USA,Active,https://ciderguide.com/bayfield-winery-blue-ox-cider/
Bullevie Cidre,0,0,1,2,3,2018,2019,2,Fodorovskoye,Leningrad Oblast,Russia,Active,https://ciderguide.com/bullevie-cidre/
Cider Corps,0,0,1,2,3,2022,2022,1,Mesa,Arizona,USA,Active,https://ciderguide.com/cider-corps/
Cidrerie St-Nicolas,0,0,1,2,3,2013,2013,1,Saint-Nicolas,Quebec,Canada,Active,https://ciderguide.com/cidrerie-st-nicolas/
Domaine Duclos Fougeray,0,0,1,2,3,2014,2014,1,Saint Michel d'Halescourt,Normandy,France,Active,https://ciderguide.com/domaine-duclos-fougeray/
Eaglemount Wine & Cider,0,0,1,2,3,2014,2014,1,Port Townsend,Washington,USA,Active,https://ciderguide.com/eaglemount-wine-cider/
Forgotten Fire Winery,0,0,1,2,3,2023,2023,1,Marinette,Wisconsin,USA,Active,https://ciderguide.com/forgotten-fire-winery/
Greenwood Cider Company,0,0,1,2,3,2018,2018,1,Seattle,Washington,USA,Active,https://ciderguide.com/greenwood-cider-company/
High Hope Cider,0,0,1,2,3,2021,2021,1,Toronto,Ontario,Canada,Inactive,https://ciderguide.com/high-hope-cider/
Holmberg Orchards & Winery,0,0,1,2,3,2007,2007,1,Gales Ferry,Connecticut,USA,Active,https://ciderguide.com/holmberg-orchards-winery/
Independent Perry,0,0,1,2,3,2019,2019,1,Dryden,Washington,USA,Active,https://ciderguide.com/independent-perry/
JK's Farmhouse Ciders,0,0,1,2,3,2014,2018,3,Flushing,Michigan,USA,Active,https://ciderguide.com/jks-farmhouse-ciders/
Newton Court Cider,0,0,1,2,3,2016,2017,2,Newton,Herefordshire,England,Active,https://ciderguide.com/newton-court-cider/
Nine Pin Cider,0,0,1,2,3,2014,2015,2,Albany,New York,USA,Active,https://ciderguide.com/nine-pin-cider/
Owl Creek Vineyard,0,0,1,2,3,2014,2014,1,Cobden,Illinois,USA,Active,https://ciderguide.com/owl-creek-vineyard/
RAW Cider,0,0,1,2,3,2024,2024,1,Yamhill,Oregon,USA,Active,https://ciderguide.com/raw-cider/
Ross-on-Wye Cider and Perry,0,0,1,2,3,2012,2012,1,Ross-on-Wye,Herefordshire,England,Active,https://ciderguide.com/ross-on-wye-cider-and-perry/
Spy Cider House and Distillery,0,0,1,2,3,2022,2022,1,Clarksburg,Ontario,Canada,Active,https://ciderguide.com/spy-cider-house-and-distillery/
Thistly Cross Cider,0,0,1,2,3,2012,2015,2,Dunbar,East Lothian,Scotland,Active,https://ciderguide.com/thistly-cross-cider/
Three Falls Cider,0,0,1,2,3,2024,2024,1,Castile,New York,USA,Active,https://ciderguide.com/three-falls-cider/
Top of the Rock Ciders,0,0,1,2,3,2016,2018,3,Kalamazoo,Michigan,USA,Inactive,https://ciderguide.com/top-of-the-rock-ciders/
Ugly Apple,0,0,1,2,3,2017,2018,2,Lanark,Ontario,Canada,Active,https://ciderguide.com/ugly-apple/
3 North Vines,0,0,0,3,3,2021,2021,1,Croswell,Michigan,USA,Active,https://ciderguide.com/3-north-vines/
Century Tree Cider Co.,0,0,0,3,3,2018,2018,1,Memphis,Tennessee,USA,Inactive,https://ciderguide.com/century-tree-cider-co/
Country Mill Winery,0,0,0,3,3,2011,2011,1,Charlotte,Michigan,USA,Active,https://ciderguide.com/country-mill-winery/
Napton Cidery,0,0,0,3,3,2019,2019,1,Southam,Warwickshire,England,Active,https://ciderguide.com/napton-cidery/
Platform Beer Company,0,0,0,3,3,2017,2021,2,Cleveland,Ohio,USA,Inactive,https://ciderguide.com/platform-beer-company/
Prospect Ciderworks,0,0,0,3,3,2018,2018,1,Boston,Massachusetts,USA,Inactive,https://ciderguide.com/prospect-ciderworks/
Small Acres Cyder,0,0,0,3,3,2014,2014,1,Borenore,New South Wales,Australia,Active,https://ciderguide.com/small-acres-cyder/
Tall Post Craft Cider,0,0,0,3,3,2019,2019,1,Hannon,Ontario,Canada,Active,https://ciderguide.com/tall-post-craft-cider/
Domaine des 5 D,1,0,1,0,2,2016,2016,1,Ouilly-le-Vicomte,Normandy,France,Active,https://ciderguide.com/domaine-des-5-d/
EdenVale Winery,1,0,1,0,2,2017,2019,2,Medford,Oregon,USA,Active,https://ciderguide.com/edenvale-winery/
Vergers de Velours,1,0,1,0,2,2018,2018,1,Saint-Henri-de-Taillon,Quebec,Canada,Active,https://ciderguide.com/vergers-de-velours/
Cold Hand Winery,1,0,0,1,2,2018,2018,1,Randers,Central Denmark,Denmark,Active,https://ciderguide.com/cold-hand-winery/
Upper Left Apples,1,0,0,1,2,2019,2019,1,Everett,Washington,USA,Inactive,https://ciderguide.com/upper-left-apples/
Val de Rance,0,2,0,0,2,2016,2016,1,Pleudihen-sur-Rance,Brittany,France,Active,https://ciderguide.com/val-de-rance/
Covered Bridge Brewing,0,1,1,0,2,2022,2022,1,Cottage Grove,Oregon,USA,Inactive,https://ciderguide.com/covered-bridge-brewing/
LUK Cider and Spirit,0,1,1,0,2,2013,2013,1,Shefford,Quebec,Canada,Inactive,https://ciderguide.com/luk-cider-and-spirit/
Prima Cider,0,1,1,0,2,2019,2019,1,Long Grove,Illinois,USA,Active,https://ciderguide.com/prima-cider/
The BottleHouse Brewing Company,0,1,1,0,2,2018,2018,1,Cleveland Heights,Ohio,USA,Active,https://ciderguide.com/the-bottlehouse-brewing-company/
Asturvisa,0,1,0,1,2,2013,2013,1,Gijón,Asturias,Spain,Inactive,https://ciderguide.com/asturvisa/
Domaine de Kervéguen,0,1,0,1,2,2014,2016,2,Guimaëc,Brittany,France,Active,https://ciderguide.com/domaine-de-kerveguen/
Long Island Meadery,0,1,0,1,2,2005,2006,2,Holbrook,New York,USA,Inactive,https://ciderguide.com/long-island-meadery/
Mershon's Artisan Cider,0,1,0,1,2,2023,2023,1,Stoughton,Wisconsin,USA,Active,https://ciderguide.com/mershons-artisan-cider/
Old Boys’ Brewhouse,0,1,0,1,2,2011,2012,2,Spring Lake,Michigan,USA,Inactive,https://ciderguide.com/old-boys-brewhouse/
Subterranean Cider,0,1,0,1,2,2022,2022,1,Ypsilanti,Michigan,USA,Inactive,https://ciderguide.com/subterranean-cider/
Batch Brewing Company,0,0,2,0,2,2024,2024,1,Detroit,Michigan,USA,Active,https://ciderguide.com/batch-brewing-company/
Cidre La Chouette,0,0,2,0,2,2019,2019,1,Saint-Pair-sur-Mer,Normandy,France,Active,https://ciderguide.com/cidre-la-chouette/
Clos de la Fontaine Hugo,0,0,2,0,2,2014,2016,2,Rozoy-sur-Serre,Hauts-de-France,France,Active,https://ciderguide.com/clos-de-la-fontaine-hugo/
Copper Crow Distillery,0,0,2,0,2,2022,2024,2,Bayfield,Wisconsin,USA,Active,https://ciderguide.com/copper-crow-distillery/
Destileria Queilen,0,0,2,0,2,2024,2024,1,Queilén,Los Lagos,Chile,Active,https://ciderguide.com/destileria-queilen/
Domaine des Côtes d'Ardoise,0,0,2,0,2,2018,2018,1,Dunham,Quebec,Canada,Active,https://ciderguide.com/domaine-des-cotes-dardoise/
Foggy Ridge Cider,0,0,2,0,2,2007,2007,1,Dugspur,Virginia,USA,Inactive,https://ciderguide.com/foggy-ridge-cider/
Good Bones Ciderhouse,0,0,2,0,2,2023,2024,2,Beulah,Michigan,USA,In Planning,https://ciderguide.com/good-bones-ciderhouse/
Institut Agricole Régional,0,0,2,0,2,2022,2023,2,Aosta,Aosta Valley,Italy,Active,https://ciderguide.com/institut-agricole-regional/
Knightberg,0,0,2,0,2,2019,2019,1,Saint Petersburg,Saint Petersburg,Russia,Active,https://ciderguide.com/knightberg/
Maison Hérout,0,0,2,0,2,2023,2023,1,Auvers,Normandy,France,Active,https://ciderguide.com/maison-herout/
OR\WA Cider Collective,0,0,2,0,2,2018,2018,1,Milwaukie,Oregon,USA,Inactive,https://ciderguide.com/orwa-cider-collective/
Paynter's Cider,0,0,2,0,2,2019,2019,1,Havelock North,Hawke's Bay,New Zealand,Active,https://ciderguide.com/paynters-cider/
S. Martinelli & Co.,0,0,2,0,2,2019,2021,2,Watsonville,California,USA,Active,https://ciderguide.com/s-martinelli-co/
Sidra El Gobernador,0,0,2,0,2,2013,2013,1,Villaviciosa,Asturias,Spain,Active,https://ciderguide.com/sidra-el-gobernador/
Vins Arista,0,0,2,0,2,2023,2024,2,Rougemont,Quebec,Canada,Active,https://ciderguide.com/vins-arista/
Willie Smith's,0,0,2,0,2,2018,2018,1,Grove,Tasmania,Australia,Active,https://ciderguide.com/willie-smiths/
Wyndfall Cyder,0,0,2,0,2,2015,2016,2,Jordan,Minnesota,USA,Inactive,https://ciderguide.com/wyndfall-cyder/
Bantam Cider,0,0,1,1,2,2013,2013,1,Somerville,Massachusetts,USA,Inactive,https://ciderguide.com/bantam-cider/
Blacksmiths Winery,0,0,1,1,2,2012,2012,1,Casco,Maine,USA,Inactive,https://ciderguide.com/blacksmiths-winery/
Brick River Cider,0,0,1,1,2,2021,2021,1,St. Louis,Missouri,USA,Active,https://ciderguide.com/brick-river-cider/
Cider by Rosie,0,0,1,1,2,2011,2011,1,Winterbourne Houghton,Dorset,England,Active,https://ciderguide.com/cider-by-rosie/
Cidres Nicol,0,0,1,1,2,2017,2017,1,Surzur,Brittany,France,Active,https://ciderguide.com/cidres-nicol/
Cigar City Cider & Mead,0,0,1,1,2,2016,2016,1,Tampa,Florida,USA,Active,https://ciderguide.com/cigar-city-cider-mead/
Cold Hollow Cider Mill,0,0,1,1,2,2016,2017,2,Waterbury Center,Vermont,USA,Active,https://ciderguide.com/cold-hollow-cider-mill/
Courthouse Creek Cider,0,0,1,1,2,2019,2019,1,Maidens,Virginia,USA,Active,https://ciderguide.com/courthouse-creek-cider/
Crimson Cider Company,0,0,1,1,2,2023,2023,1,Picton,Ontario,Canada,Active,https://ciderguide.com/crimson-cider-company/
Dominion Cider Co.,0,0,1,1,2,2019,2019,1,Summerland,British Columbia,Canada,Active,https://ciderguide.com/dominion-cider-co/
Ferro Farms,0,0,1,1,2,2016,2017,2,Lake Geneva,Wisconsin,USA,Inactive,https://ciderguide.com/ferro-farms/
FieldBird Cider,0,0,1,1,2,2018,2018,1,Bloomfield,Ontario,Canada,Active,https://ciderguide.com/fieldbird-cider/
Flatbed Cider Co.,0,0,1,1,2,2016,2016,1,Milton-Freewater,Oregon,USA,Inactive,https://ciderguide.com/flatbed-cider-co/
Fort Point Beer Company,0,0,1,1,2,2023,2023,1,San Francisco,California,USA,Active,https://ciderguide.com/fort-point-beer-company/
Henney's Cider,0,0,1,1,2,2009,2009,1,Bishops Frome,Herefordshire,England,Active,https://ciderguide.com/henneys-cider/
Lost Valley Cider Co.,0,0,1,1,2,2019,2019,1,Milwaukee,Wisconsin,USA,Active,https://ciderguide.com/lost-valley-cider-co/
Lucia Maria Melchiori,0,0,1,1,2,2023,2023,1,Predaia,Trentino-South Tyrol,Italy,Active,https://ciderguide.com/lucia-maria-melchiori/
Metal House Cider,0,0,1,1,2,2018,2018,1,Ulster Park,New York,USA,Active,https://ciderguide.com/metal-house-cider/
Mill Bridge Winery,0,0,1,1,2,2017,2017,1,Pigeon Forge,Tennessee,USA,Active,https://ciderguide.com/mill-bridge-winery/
New Holland Brewing,0,0,1,1,2,2007,2007,1,Holland,Michigan,USA,Active,https://ciderguide.com/new-holland-brewing/
New Leaf Cider Co.,0,0,1,1,2,2018,2021,2,Port Crane,New York,USA,Active,https://ciderguide.com/new-leaf-cider-co/
Rice Lake Hard Cider,0,0,1,1,2,2021,2021,1,Baltimore,Ontario,Canada,Active,https://ciderguide.com/rice-lake-hard-cider/
Speciation Artisan Ales,0,0,1,1,2,2022,2023,2,Grand Rapids,Michigan,USA,Active,https://ciderguide.com/speciation-artisan-ales/
Sutliff Cider Company,0,0,1,1,2,2022,2022,1,Lisbon,Iowa,USA,Inactive,https://ciderguide.com/sutliff-cider-company/
Tercer Ciclo,0,0,1,1,2,2024,2024,1,Santiago,Metropolitan,Chile,Active,https://ciderguide.com/tercer-ciclo/
Tilted Shed Ciderworks,0,0,1,1,2,2013,2013,1,Windsor,California,USA,Active,https://ciderguide.com/tilted-shed-ciderworks/
Tom's Foolery Distillery,0,0,1,1,2,2011,2011,1,Burton,Ohio,USA,Active,https://ciderguide.com/toms-foolery-distillery/
Troy Cider,0,0,1,1,2,2015,2018,2,Fulton,California,USA,Inactive,https://ciderguide.com/troy-cider/
Turncoat Cidery,0,0,1,1,2,2023,2023,1,Jamestown,Rhode Island,USA,Active,https://ciderguide.com/turncoat-cidery/
Txopinondo,0,0,1,1,2,2014,2016,2,Ascain,Nouvelle-Aquitaine,France,Active,https://ciderguide.com/txopinondo/
Westside CiderWerks,0,0,1,1,2,2016,2016,1,Grand Rapids,Michigan,USA,Inactive,https://ciderguide.com/westside-ciderwerks/
Windfall Cider,0,0,1,1,2,2019,2021,2,Vancouver,British Columbia,Canada,Active,https://ciderguide.com/windfall-cider/
Woodbox Cider Co.,0,0,1,1,2,2016,2017,2,Portland,Oregon,USA,Inactive,https://ciderguide.com/woodbox-cider-co/
^5 Cider,0,0,0,2,2,2016,2016,1,Portland,Oregon,USA,Inactive,https://ciderguide.com/5-cider/
3 Keys Brewing,0,0,0,2,2,2019,2019,1,Bradenton,Florida,USA,Active,https://ciderguide.com/3-keys-brewing/
Adesanya Mead & Microbrewery,0,0,0,2,2,2021,2024,2,Grandville,Michigan,USA,Active,https://ciderguide.com/adesanya-mead-microbrewery/
Bier Distillery,0,0,0,2,2,2017,2019,2,Comstock Park,Michigan,USA,Active,https://ciderguide.com/bier-distillery/
Bonnieheath Estate Winery,0,0,0,2,2,2017,2017,1,Waterford,Ontario,Canada,Active,https://ciderguide.com/bonnieheath-estate-winery/
Cidrerie Compton,0,0,0,2,2,2023,2023,1,Compton,Quebec,Canada,Active,https://ciderguide.com/cidrerie-compton/
Ethic Ciders,0,0,0,2,2,2019,2019,1,Petaluma,California,USA,Active,https://ciderguide.com/ethic-ciders/
Farmstead Cider,0,0,0,2,2,2021,2021,1,Jackson,Wyoming,USA,Active,https://ciderguide.com/farmstead-cider/
Forward Ferments,0,0,0,2,2,2019,2019,1,Myra,Wisconsin,USA,Inactive,https://ciderguide.com/forward-ferments/
Gnarly Grove Hard Cider,0,0,0,2,2,2016,2016,1,Columbus,Indiana,USA,Inactive,https://ciderguide.com/gnarly-grove-hard-cider/
Himachal,0,0,0,2,2,2016,2017,2,Burnley,Lancashire,England,Inactive,https://ciderguide.com/himachal/
Leaky Barrel Cider Company,0,0,0,2,2,2017,2017,1,Windsor,California,USA,Inactive,https://ciderguide.com/leaky-barrel-cider-company/
Little Pomona,0,0,0,2,2,2018,2018,1,Bromyard,Herefordshire,England,Active,https://ciderguide.com/little-pomona/
Northwood Cider Co.,0,0,0,2,2,2023,2023,1,Norwood,Ohio,USA,Active,https://ciderguide.com/northwood-cider-co/
Orpens Cider,0,0,0,2,2,2014,2015,2,Kildare,Kildare,Ireland,Inactive,https://ciderguide.com/orpens-cider/
Red Top Winery,0,0,0,2,2,2021,2021,1,Baroda,Michigan,USA,Active,https://ciderguide.com/red-top-winery/
Sunrise Orchards,0,0,0,2,2,2013,2013,1,Cornwall,Vermont,USA,Inactive,https://ciderguide.com/sunrise-orchards/
Tenmile Cider Co.,0,0,0,2,2,2022,2022,1,Breckenridge,Colorado,USA,Active,https://ciderguide.com/tenmile-cider-co/
The Old Mine Cider Company,0,0,0,2,2,2018,2018,1,Erie,Colorado,USA,Active,https://ciderguide.com/the-old-mine-cider-company/
Tumalo Cider,0,0,0,2,2,2021,2021,1,Bend,Oregon,USA,Active,https://ciderguide.com/tumalo-cider/
Gabbie's Premium Cider,1,0,0,0,1,2024,2024,1,Gabriola,British Columbia,Canada,Active,https://ciderguide.com/gabbies-premium-cider/
Talisman Farm Cidery,1,0,0,0,1,2016,2016,1,Hygiene,Colorado,USA,Inactive,https://ciderguide.com/talisman-farm-cidery/
Bear Cider,0,1,0,0,1,2019,2019,1,Naarden,North Holland,Netherlands,Active,https://ciderguide.com/bear-cider/
Calvados Pierre Huet,0,1,0,0,1,2023,2023,1,Cambremer,Normandy,France,Active,https://ciderguide.com/calvados-pierre-huet/
Kikusui Brewing Co.,0,1,0,0,1,2022,2022,1,Iida,Nagano,Japan,Active,https://ciderguide.com/kikusui-brewing-co/
Malner,0,1,0,0,1,2023,2023,1,Kozina,Hrpelje-Kozina,Slovenia,Active,https://ciderguide.com/malner/
3Cs Cider,0,0,1,0,1,2014,2014,1,Brackley,Northamptonshire,England,Inactive,https://ciderguide.com/3cs-cider/
Apple Hill Cidery,0,0,1,0,1,2016,2016,1,Lexington,Kentucky,USA,Inactive,https://ciderguide.com/apple-hill-cidery/
bigLITTLE Wines,0,0,1,0,1,2016,2016,1,Suttons Bay,Michigan,USA,Inactive,https://ciderguide.com/biglittle-wines/
Black Devil Cider,0,0,1,0,1,2018,2018,1,Cambridge,Tasmania,Australia,Inactive,https://ciderguide.com/black-devil-cider/
Carolinia Cider Company,0,0,1,0,1,2024,2024,1,Harrow,Ontario,Canada,Active,https://ciderguide.com/carolinia-cider-company/
Cellar Brewing Company,0,0,1,0,1,2011,2011,1,Sparta,Michigan,USA,Inactive,https://ciderguide.com/cellar-brewing-company/
Chase Hill Cider,0,0,1,0,1,2022,2022,1,Albany,New Hampshire,USA,Active,https://ciderguide.com/chase-hill-cider/
Creekside Estate Winery,0,0,1,0,1,2018,2018,1,Jordan,Ontario,Canada,Active,https://ciderguide.com/creekside-estate-winery/
