Medalist,Region,🥇 Gold,🥈 Silver,🥉 Bronze,🏅 Total,First,Last,Years,Status,Country,Website,Facebook,Instagram,Google,Yelp,TripAdvisor,Untappd
Cidrerie Stassen,"Liège ",---,---,1,1,2013,2013,1,Active,Belgium,"<a href=""https://www.cidreriestassen.com/"">Website</a>",,,"<a href=""https://maps.google.com/?cid=3414465612960585932"">Google</a>",,,"<a href=""https://untappd.com/w/stassen-vin-cie/12274"">Untappd</a>"
Custard & Co,Western Australia,---,---,1,1,2022,2022,1,Inactive,Australia,,,,,,,
Dr. Pilkington's,South Australia,---,---,1,1,2018,2018,1,Inactive,Australia,,,,,,,
Écusson,Île-de-France,---,---,1,1,2023,2023,1,Active,France,"<a href=""https://www.cidre-ecusson.com/"">Website</a>","<a href=""https://www.facebook.com/CidreEcusson/"">Facebook</a>","<a href=""https://www.instagram.com/cidreecusson/"">Instagram</a>",,,,"<a href=""https://untappd.com/w/cidres-ecusson/15641"">Untappd</a>"
Elemental Cider,Wellington,---,---,1,1,2024,2024,1,Active,New Zealand,"<a href=""https://elementalcider.co.nz/"">Website</a>","<a href=""https://www.facebook.com/elementalcider"">Facebook</a>","<a href=""https://www.instagram.com/elementalcidernz/"">Instagram</a>",,,,"<a href=""https://untappd.com/w/elemental-cider/480974"">Untappd</a>"
Elephants Rock Cider Company,Western Australia,---,---,1,1,2011,2011,1,Active,Australia,"<a href=""https://www.denmarkgoodfoodfactory.com.au/"">Website</a>","<a href=""https://www.facebook.com/denmarkgoodfoodfactory"">Facebook</a>","<a href=""https://www.instagram.com/denmarkgoodfoodfactory"">Instagram</a>","<a href=""https://maps.google.com/?cid=151466976562038455"">Google</a>","<a href=""https://www.yelp.com/biz/elephant-rock-cider-william-bay"">Yelp</a>","<a href=""https://www.tripadvisor.com/Restaurant_Review-g488338-d2629193"">TripAdvisor</a>","<a href=""https://untappd.com/w/elephants-rock-cider-company/55250"">Untappd</a>"
Fishbone,---,---,---,1,1,2017,2017,1,Inactive,Australia,,,,,,,
Henry Street Brewhouse,Victoria,---,---,1,1,2023,2023,1,Inactive,Australia,,,,,,,
Hope Estate,New South Wales,---,---,1,1,2019,2019,1,Active,Australia,"<a href=""https://www.hopeestate.com.au/"">Website</a>","<a href=""https://www.facebook.com/hopeestate"">Facebook</a>","<a href=""https://www.instagram.com/hopeestate"">Instagram</a>","<a href=""https://maps.google.com/?cid=2618263440002047371"">Google</a>","<a href=""https://www.yelp.com/biz/hope-estate-pokolbin"">Yelp</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g255328-d2459878"">TripAdvisor</a>","<a href=""https://untappd.com/HopeEstate"">Untappd</a>"
Jolly Miller Cider,New South Wales,---,---,1,1,2021,2021,1,Active,Australia,,"<a href=""https://www.facebook.com/profile.php?id=100041233345985"">Facebook</a>",,,,,"<a href=""https://untappd.com/w/jolly-miller-cider/268726"">Untappd</a>"
Kelterei Stier,Hesse,---,---,1,1,2012,2012,1,Active,Germany,"<a href=""https://www.kelterei-stier.de/"">Website</a>","<a href=""https://www.facebook.com/KeltereiStierBischofsheim/"">Facebook</a>","<a href=""https://www.instagram.com/keltereistier/"">Instagram</a>","<a href=""https://maps.google.com/?cid=7976250328587904866"">Google</a>",,,"<a href=""https://untappd.com/w/kelterei-stier/56262"">Untappd</a>"
Lychee Hill Estate,Queensland,---,---,1,1,2022,2022,1,Active,Australia,"<a href=""https://www.lycheedivine.com.au/"">Website</a>","<a href=""https://www.facebook.com/lycheedivine/"">Facebook</a>","<a href=""https://www.instagram.com/lycheedivine/"">Instagram</a>","<a href=""https://maps.google.com/?cid=403393903491082741"">Google</a>",,"<a href=""https://www.tripadvisor.com/Attraction_Review-g13625407-d8386939"">TripAdvisor</a>","<a href=""https://untappd.com/w/lychee-hill-estate/536904"">Untappd</a>"
Mismatch Brewing Company,South Australia,---,---,1,1,2022,2022,1,Active,Australia,"<a href=""https://www.mismatchbrewing.com.au/"">Website</a>","<a href=""https://www.facebook.com/mismatchbrewing"">Facebook</a>","<a href=""https://www.instagram.com/mismatchbrewing/"">Instagram</a>","<a href=""https://maps.google.com/?cid=2094608130597131906"">Google</a>",,"<a href=""https://www.tripadvisor.com/Restaurant_Review-g1135568-d16672671"">TripAdvisor</a>","<a href=""https://untappd.com/MismatchBrewingCompany"">Untappd</a>"
Montalto Winery,Victoria,---,---,1,1,2018,2018,1,Inactive,Australia,,,,,,,
Mountain Goat Beer,Victoria,---,---,1,1,2023,2023,1,Active,Australia,"<a href=""https://www.goatbeer.com.au/"">Website</a>","<a href=""https://www.facebook.com/goatbeer"">Facebook</a>","<a href=""https://www.instagram.com/goatbeer"">Instagram</a>","<a href=""https://maps.google.com/?cid=3590392710166252972"">Google</a>","<a href=""https://www.yelp.com/biz/mountain-goat-brewery-richmond-4"">Yelp</a>",,"<a href=""https://untappd.com/mountaingoatbeer"">Untappd</a>"
Mountford Wines,Western Australia,---,---,1,1,2018,2018,1,Active,Australia,"<a href=""https://www.mountfordwines.com.au/"">Website</a>","<a href=""https://www.facebook.com/mountfordwines/"">Facebook</a>","<a href=""https://www.instagram.com/mountfordwines/"">Instagram</a>","<a href=""https://maps.google.com/?cid=5375517846867915536"">Google</a>","<a href=""https://www.yelp.com/biz/mountford-wines-and-tangletoe-cidery-pemberton"">Yelp</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g261676-d3806187"">TripAdvisor</a>","<a href=""https://untappd.com/w/mountford-wines/77205"">Untappd</a>"
"Mr Bridges ",Tasmania,---,---,1,1,2024,2024,1,Active,Australia,"<a href=""https://mrbridges.com.au/"">Website</a>","<a href=""https://www.facebook.com/mbcider/"">Facebook</a>","<a href=""https://www.instagram.com/mbcider"">Instagram</a>",,,,"<a href=""https://untappd.com/w/mr-bridges/554227"">Untappd</a>"
Mt Duneed Estate,Victoria,---,---,1,1,2016,2016,1,Active,Australia,"<a href=""https://www.mtduneedestate.com.au/"">Website</a>","<a href=""https://www.facebook.com/mtduneedestatewinery"">Facebook</a>","<a href=""https://www.instagram.com/mtduneedestate"">Instagram</a>","<a href=""https://maps.google.com/?cid=3985539971527914017"">Google</a>",,"<a href=""https://www.tripadvisor.com/Attraction_Review-g2671384-d7208953"">TripAdvisor</a>","<a href=""https://untappd.com/w/mt-duneed-brewing-co/332364"">Untappd</a>"
Mures Tasmania,Tasmania,---,---,1,1,2014,2014,1,Active,Australia,"<a href=""https://www.mures.com.au/"">Website</a>","<a href=""https://www.facebook.com/MuresTasmania"">Facebook</a>","<a href=""https://www.instagram.com/murestasmania"">Instagram</a>","<a href=""https://maps.google.com/?cid=40642501716472917"">Google</a>","<a href=""https://www.yelp.com/biz/mures-upper-deck-hobart-4"">Yelp</a>","<a href=""https://www.tripadvisor.com/Restaurant_Review-g255097-d727306"">TripAdvisor</a>","<a href=""https://untappd.com/w/mures-tasmania/123384"">Untappd</a>"
Padthaway Estate,South Australia,---,---,1,1,2013,2013,1,Inactive,Australia,,,,,,,
Prancing Pony Brewery,South Australia,---,---,1,1,2022,2022,1,Active,Australia,"<a href=""https://prancingponybrewery.com.au/"">Website</a>","<a href=""https://www.facebook.com/PrancingPonyBrewery/"">Facebook</a>","<a href=""https://www.instagram.com/prancingponybrewery/"">Instagram</a>","<a href=""https://maps.google.com/?cid=2202363820378513204"">Google</a>","<a href=""https://www.yelp.com/biz/prancing-pony-brewery-mount-barker-3"">Yelp</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g499718-d6674713"">TripAdvisor</a>","<a href=""https://untappd.com/prancingponybrewery"">Untappd</a>"
Seedy Cider,Victoria,---,---,1,1,2017,2017,1,Inactive,Australia,,,,,,,
The Craft & Co,Victoria,---,---,1,1,2017,2017,1,Inactive,Australia,,,,,,,
Two Birds Brewing,Victoria,---,---,1,1,2019,2019,1,Inactive,Australia,,,,,,,
Vivid Cider,New South Wales,---,---,1,1,2015,2015,1,Inactive,Australia,,,,,,,
Woolshed Brewery,South Australia,---,---,1,1,2016,2016,1,Inactive,Australia,,,,,,,
Young Henrys,New South Wales,---,---,1,1,2015,2015,1,Active,Australia,"<a href=""https://younghenrys.com/"">Website</a>","<a href=""https://www.facebook.com/younghenrysbrewing/"">Facebook</a>","<a href=""https://www.instagram.com/younghenrys/"">Instagram</a>","<a href=""https://maps.google.com/?cid=16775494455914270554"">Google</a>","<a href=""https://www.yelp.com/biz/young-henrys-newtown"">Yelp</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g8572746-d7396384"">TripAdvisor</a>","<a href=""https://untappd.com/YoungHenrys"">Untappd</a>"
Total,,119,433,999,"1,551",,,,,,,,,,,,
