Year,Medalist,Entry,Class,Place
2017,"<a href=""https://ciderguide.com/glintcap/medalists/red-rover-craft-cider/"">Red Rover Craft Cider</a>",Summer Cider,Modern Cider - Dry,1st Place
2017,"<a href=""https://ciderguide.com/glintcap/medalists/starcut-ciders/"">Starcut Ciders</a>",Pulsar,Modern Cider - Dry,2nd Place
2017,"<a href=""https://ciderguide.com/glintcap/medalists/jaanihanso-cider/"">Jaanihanso Cider</a>",SEC 2015 Methode Traditionnelle,Modern Cider - Dry,3rd Place
2017,"<a href=""https://ciderguide.com/glintcap/medalists/haykin-family-cider/"">Haykin Family Cider</a>",Esopus Spitzenburg,Modern Cider - Sweet,1st Place
2017,"<a href=""https://ciderguide.com/glintcap/medalists/blue-toad-hard-cider/"">Blue Toad Hard Cider</a>",ROC Hard Amber,Modern Cider - Sweet,2nd Place
2017,"<a href=""https://ciderguide.com/glintcap/medalists/bulwark-cider/"">Bulwark Cider</a>",Bulwark Original Cider,Modern Cider - Sweet,3rd Place
2017,"<a href=""https://ciderguide.com/glintcap/medalists/slake-cider/"">Slake Cider</a>",Summer Set,Heritage Cider - Dry,1st Place
2017,"<a href=""https://ciderguide.com/glintcap/medalists/snow-capped-cider/"">Snow Capped Cider</a>",Cider Makers Reserve,Heritage Cider - Dry,2nd Place
2017,"<a href=""https://ciderguide.com/glintcap/medalists/snow-capped-cider/"">Snow Capped Cider</a>",6130' Dry,Heritage Cider - Dry,3rd Place
2017,"<a href=""https://ciderguide.com/glintcap/medalists/grey-gold-cider/"">Grey & Gold Cider</a>",Northern Gold,Heritage Cider - Sweet,1st Place
2017,"<a href=""https://ciderguide.com/glintcap/medalists/sierra-cider/"">Sierra Cider</a>",Dry Summer Blend,Heritage Cider - Sweet,2nd Place
2017,"<a href=""https://ciderguide.com/glintcap/medalists/maiden-rock-winery-cidery/"">Maiden Rock Winery & Cidery</a>",Crabby,Heritage Cider - Sweet,3rd Place
2017,"<a href=""https://ciderguide.com/glintcap/medalists/dunkertons-cider-and-perry/"">Dunkertons Cider and Perry</a>",Dunkertons Dry Organic Cider,Traditional Cider - Dry,1st Place
2017,"<a href=""https://ciderguide.com/glintcap/medalists/angry-orchard/"">Angry Orchard</a>",Oval Nouveau,Traditional Cider - Dry,2nd Place
2017,"<a href=""https://ciderguide.com/glintcap/medalists/angry-orchard/"">Angry Orchard</a>",First Flora,Traditional Cider - Dry,3rd Place
2017,"<a href=""https://ciderguide.com/glintcap/medalists/les-vergers-de-kermao/"">Les Vergers de Kermao</a>","Cidre AOP Cornouaille Kermao ",Traditional Cider - Sweet,1st Place
2017,"<a href=""https://ciderguide.com/glintcap/medalists/dragons-head-cider/"">Dragon's Head Cider</a>",Traditional Cider,Traditional Cider - Sweet,2nd Place
2017,"<a href=""https://ciderguide.com/glintcap/medalists/donovan-orchards-estate-ciders/"">Donovan Orchards Estate Ciders</a>",Black Rock - Kingston Black,Traditional Cider - Sweet,3rd Place
2017,"<a href=""https://ciderguide.com/glintcap/medalists/sidra-fanjul/"">Sidra Fanjul</a>",Fanjul Sidra Natural,Sour Cider,1st Place
2017,"<a href=""https://ciderguide.com/glintcap/medalists/sidra-trabanco/"">Sidra Trabanco</a>",Cosecha Propia,Sour Cider,2nd Place
2017,"<a href=""https://ciderguide.com/glintcap/medalists/sidra-riestra/"">Sidra Riestra</a>",Sidra Natural Riestra,Sour Cider,3rd Place
2017,"<a href=""https://ciderguide.com/glintcap/medalists/elk-horn-brewery-ciderhouse/"">Elk Horn Brewery & Ciderhouse</a>",Perry,Modern Perry,1st Place
2017,"<a href=""https://ciderguide.com/glintcap/medalists/uncle-johns/"">Uncle John's</a>",Perry,Modern Perry,2nd Place
2017,"<a href=""https://ciderguide.com/glintcap/medalists/snowdrift-cider-co/"">Snowdrift Cider Co.</a>",Seckel Perry,Modern Perry,3rd Place
2017,"<a href=""https://ciderguide.com/glintcap/medalists/le-pere-jules/"">Le Père Jules</a>",Poiré de Normandie,Traditional Perry,1st Place
2017,"<a href=""https://ciderguide.com/glintcap/medalists/dragons-head-cider/"">Dragon's Head Cider</a>",Perry,Traditional Perry,2nd Place
2017,"<a href=""https://ciderguide.com/glintcap/medalists/dunkertons-cider-and-perry/"">Dunkertons Cider and Perry</a>",Dunkertons Organic Perry,Traditional Perry,3rd Place
2017,"<a href=""https://ciderguide.com/glintcap/medalists/toboggan-brewing-co/"">Toboggan Brewing Co.</a>",Rhubarb Cider,Fruit Cider,1st Place
2017,"<a href=""https://ciderguide.com/glintcap/medalists/annapolis-cider-company/"">Annapolis Cider Company</a>",Muscat Infusion,Fruit Cider,2nd Place
2017,"<a href=""https://ciderguide.com/glintcap/medalists/avid-cider/"">Avid Cider</a>",Dragonfruit,Fruit Cider,3rd Place
2017,"<a href=""https://ciderguide.com/glintcap/medalists/jaanihanso-cider/"">Jaanihanso Cider</a>",Hopped Dry Cider,Hopped Cider,1st Place
2017,"<a href=""https://ciderguide.com/glintcap/medalists/citizen-cider/"">Citizen Cider</a>",Citra Star,Hopped Cider,2nd Place
2017,"<a href=""https://ciderguide.com/glintcap/medalists/stem-ciders/"">Stem Ciders</a>",Hopped Apple Cider,Hopped Cider,3rd Place
2017,"<a href=""https://ciderguide.com/glintcap/medalists/finnriver-farm-and-cidery/"">Finnriver Farm and Cidery</a>",Solstice Saffron,Spiced Cider,1st Place
2017,"<a href=""https://ciderguide.com/glintcap/medalists/c-squared-ciders/"">C Squared Ciders</a>",Ginger,Spiced Cider,2nd Place
2017,"<a href=""https://ciderguide.com/glintcap/medalists/seattle-cider-company/"">Seattle Cider Company</a>",Gin Botanical,Spiced Cider,3rd Place
2017,"<a href=""https://ciderguide.com/glintcap/medalists/cidrerie-milton/"">Cidrerie Milton</a>",Cuivré fût de chêne,Wood Aged Cider,1st Place
2017,"<a href=""https://ciderguide.com/glintcap/medalists/angry-orchard/"">Angry Orchard</a>",Wooden Sleeper,Wood Aged Cider,2nd Place
2017,"<a href=""https://ciderguide.com/glintcap/medalists/maiden-rock-winery-cidery/"">Maiden Rock Winery & Cidery</a>",Golden Russet,Wood Aged Cider,3rd Place
2017,"<a href=""https://ciderguide.com/glintcap/medalists/eden-ciders/"">Eden Ciders</a>",Orleans Herbal,Specialty Cider and Perry,1st Place
2017,"<a href=""https://ciderguide.com/glintcap/medalists/red-rover-craft-cider/"">Red Rover Craft Cider</a>",Barrel Reserve #2,Specialty Cider and Perry,2nd Place
2017,"<a href=""https://ciderguide.com/glintcap/medalists/annapolis-cider-company/"">Annapolis Cider Company</a>",Hopped Pear,Specialty Cider and Perry,3rd Place
2017,"<a href=""https://ciderguide.com/glintcap/medalists/vermont-cider-company/"">Vermont Cider Company</a>",Woodchuck Amber,Unlimited Cider and Perry,1st Place
2017,"<a href=""https://ciderguide.com/glintcap/medalists/vermont-cider-company/"">Vermont Cider Company</a>",Gumption Original,Unlimited Cider and Perry,2nd Place
2017,"<a href=""https://ciderguide.com/glintcap/medalists/adams-cider-company/"">Adams Cider Company</a>",Devils Bit Mountain Cider,Unlimited Cider and Perry,3rd Place
2017,"<a href=""https://ciderguide.com/glintcap/medalists/cidrerie-du-minot/"">Cidrerie du Minot</a>",Des Glaces IGP 2014,Ice Cider,1st Place
2017,"<a href=""https://ciderguide.com/glintcap/medalists/cidrerie-du-minot/"">Cidrerie du Minot</a>",Crémant de Glace,Ice Cider,2nd Place
2017,"<a href=""https://ciderguide.com/glintcap/medalists/cidrerie-milton/"">Cidrerie Milton</a>",Le Glacé,Ice Cider,3rd Place
2017,"<a href=""https://ciderguide.com/glintcap/medalists/black-diamond-cider/"">Black Diamond Cider</a>",Porter's Pommeau,Fortified Cider,1st Place
2017,"<a href=""https://ciderguide.com/glintcap/medalists/2-towns-ciderhouse/"">2 Towns Ciderhouse</a>",2014 Pommeau,Fortified Cider,2nd Place
2017,"<a href=""https://ciderguide.com/glintcap/medalists/cidrerie-du-minot/"">Cidrerie du Minot</a>",Du Minot Doré,Fortified Cider,3rd Place
2017,"<a href=""https://ciderguide.com/glintcap/medalists/uncle-johns/"">Uncle John's</a>",Apple Brandy,Spirits,1st Place
2017,"<a href=""https://ciderguide.com/glintcap/medalists/le-pere-jules/"">Le Père Jules</a>",Calvados Pays d'Auge 3 ans d'âge,Spirits,2nd Place
2017,"<a href=""https://ciderguide.com/glintcap/medalists/corey-lake-orchards/"">Corey Lake Orchards</a>",Pear Brandy,Spirits,3rd Place
2016,"<a href=""https://ciderguide.com/glintcap/medalists/cidrerie-milton/"">Cidrerie Milton</a>",CID Rosé,New World Modern Cider,1st Place
2016,"<a href=""https://ciderguide.com/glintcap/medalists/eden-ciders/"">Eden Ciders</a>",2015 Semi Dry Sparkling Cider,New World Heritage Cider,1st Place
2016,"<a href=""https://ciderguide.com/glintcap/medalists/big-fish-cider-co/"">Big Fish Cider Co.</a>",Allegheny Gold,New World Heritage Cider,2nd Place
2016,"<a href=""https://ciderguide.com/glintcap/medalists/snowdrift-cider-co/"">Snowdrift Cider Co.</a>",Cornice,Old World Cider,1st Place
2016,"<a href=""https://ciderguide.com/glintcap/medalists/sidra-mayador/"">Sidra Mayador</a>",Mayador Sidra Natural,Old World Cider,2nd Place
2016,"<a href=""https://ciderguide.com/glintcap/medalists/domaine-des-5-d/"">Domaine des 5 D</a>",Cidrerie Daufresne Poiré,Perry,1st Place
2016,"<a href=""https://ciderguide.com/glintcap/medalists/uncle-johns/"">Uncle John's</a>",Apple Apricot,Fruit Cider,1st Place
2016,"<a href=""https://ciderguide.com/glintcap/medalists/square-mile-cider/"">Square Mile Cider</a>",Spur & Vine,Hopped/Herbal Cider,1st Place
2016,"<a href=""https://ciderguide.com/glintcap/medalists/west-avenue-cider/"">West Avenue Cider</a>",Wild Oak,Wood Aged Cider,1st Place
2016,"<a href=""https://ciderguide.com/glintcap/medalists/west-avenue-cider/"">West Avenue Cider</a>",Bleuet Sauvage,Specialty,1st Place
2016,"<a href=""https://ciderguide.com/glintcap/medalists/talisman-farm-cidery/"">Talisman Farm Cidery</a>",iCider,Intensified and Distilled,1st Place
2016,"<a href=""https://ciderguide.com/glintcap/medalists/le-pere-jules/"">Le Père Jules</a>",Pommeau de Normandie,Intensified and Distilled,2nd Place
2015,"<a href=""https://ciderguide.com/glintcap/medalists/eden-ciders/"">Eden Ciders</a>",Eden Sparkling Semi-Dry Cider,Standard Cider & Perry,1st Place
2015,"<a href=""https://ciderguide.com/glintcap/medalists/liberty-ciderworks/"">Liberty Ciderworks</a>",Stonewall,Specialty Cider & Perry,1st Place
2015,"<a href=""https://ciderguide.com/glintcap/medalists/snowdrift-cider-co/"">Snowdrift Cider Co.</a>",Semi Dry,Specialty Cider & Perry,2nd Place
2015,"<a href=""https://ciderguide.com/glintcap/medalists/westcott-bay-cider/"">Westcott Bay Cider</a>",Westcott Bay Pommeau,Intensified and Distilled,1st Place
2015,"<a href=""https://ciderguide.com/glintcap/medalists/cidrerie-entre-pierre-terre/"">Cidrerie Entre Pierre & Terre</a>",Ice Perry,Intensified and Distilled,2nd Place
2014,"<a href=""https://ciderguide.com/glintcap/medalists/twin-pines-orchards-cider-house/"">Twin Pines Orchards & Cider House</a>",Hammer Bent Red,Standard/Specialty/Unlimited,1st Place
2014,"<a href=""https://ciderguide.com/glintcap/medalists/hogans-cider/"">Hogan's Cider</a>",Hogan's Vintage Perry 2010,Standard/Specialty/Unlimited,2nd Place
2014,"<a href=""https://ciderguide.com/glintcap/medalists/eden-ciders/"">Eden Ciders</a>",Eden Heirloom Blend 2012,Intensified and Distilled,1st Place
2014,"<a href=""https://ciderguide.com/glintcap/medalists/colorado-cider-company/"">Colorado Cider Company</a>",Distraction,Intensified and Distilled,2nd Place
2013,"<a href=""https://ciderguide.com/glintcap/medalists/wandering-aengus-ciderworks/"">Wandering Aengus Ciderworks</a>",Bloom Cider,Standard/Specialty/Unlimited,1st Place
2013,"<a href=""https://ciderguide.com/glintcap/medalists/finnriver-farm-and-cidery/"">Finnriver Farm and Cidery</a>",Fire Barrel,Standard/Specialty/Unlimited,2nd Place
2013,"<a href=""https://ciderguide.com/glintcap/medalists/eden-ciders/"">Eden Ciders</a>",Windfall Orchard 2011,Intensified and Distilled,1st Place
2012,"<a href=""https://ciderguide.com/glintcap/medalists/hogans-cider/"">Hogan's Cider</a>",Hogan's Medium Cider,Standard/Specialty/Unlimited,1st Place
2012,"<a href=""https://ciderguide.com/glintcap/medalists/left-foot-charley/"">Left Foot Charley</a>",Relic Hard Cider,Standard/Specialty/Unlimited,2nd Place
2012,"<a href=""https://ciderguide.com/glintcap/medalists/eden-ciders/"">Eden Ciders</a>",Eden Barrel-Aged Northern Spy,Intensified and Distilled,1st Place
2012,"<a href=""https://ciderguide.com/glintcap/medalists/uncle-johns/"">Uncle John's</a>",Apple Brandy,Intensified and Distilled,2nd Place
2011,"<a href=""https://ciderguide.com/glintcap/medalists/hogans-cider/"">Hogan's Cider</a>",Hogan's Dry Cider,Standard/Specialty/Unlimited,1st Place
2011,"<a href=""https://ciderguide.com/glintcap/medalists/tideview-cider/"">Tideview Cider</a>",Heritage Dry Cider 2007,Standard/Specialty/Unlimited,2nd Place
2011,"<a href=""https://ciderguide.com/glintcap/medalists/county-cider-company/"">County Cider Company</a>",CHOA Ice Cider,Intensified and Distilled,1st Place
2011,"<a href=""https://ciderguide.com/glintcap/medalists/winery-at-black-star-farms/"">Winery at Black Star Farms</a>",Spirit of Pear,Intensified and Distilled,2nd Place
2009,"<a href=""https://ciderguide.com/glintcap/medalists/uncle-johns/"">Uncle John's</a>",Uncle John’s Hard Cider,Best of Show,1st Place
2009,"<a href=""https://ciderguide.com/glintcap/medalists/warwick-valley-winery-distillery/"">Warwick Valley Winery & Distillery</a>",American Fruits Apple Liqueur,Best of Show,2nd Place
2008,"<a href=""https://ciderguide.com/glintcap/medalists/westcott-bay-cider/"">Westcott Bay Cider</a>",Traditional Semi Sweet,Best of Show,1st Place
2008,"<a href=""https://ciderguide.com/glintcap/medalists/slyboro-ciderhouse/"">Slyboro Ciderhouse</a>",Old Sin / Original Cider,Best of Show,2nd Place
2007,"<a href=""https://ciderguide.com/glintcap/medalists/tulip-valley-vineyard-orchard/"">Tulip Valley Vineyard & Orchard</a>",Burro Loco Cider,Best of Show,1st Place
2006,"<a href=""https://ciderguide.com/glintcap/medalists/uncle-johns/"">Uncle John's</a>",Apple Dessert Wine,Best of Show,1st Place
2006,"<a href=""https://ciderguide.com/glintcap/medalists/mcintosh-cellars/"">Mcintosh Cellars</a>",Golden Harvest,Best of Show,2nd Place
2006,"<a href=""https://ciderguide.com/glintcap/medalists/winery-at-black-star-farms/"">Winery at Black Star Farms</a>",Spirit of Pear Eau DeVie,Best of Show,2nd Place
2005,"<a href=""https://ciderguide.com/glintcap/medalists/uncle-johns/"">Uncle John's</a>",Farm House Perry,Best of Show,1st Place
