ID,Year,Class,Award,WID,Entrant,Entry
627,2024,Farmhouse Sweet,🥈 Silver,X,Sweeting's Cider,Monument Sweet Cider
628,2024,Farmhouse Sweet,🥈 Silver,1436,Ventons Devon Cyder,Sweet Maid In Devon
629,2024,Farmhouse Sweet,🥈 Silver,X,Dinnington Cider Press,Dragonfly Cider - Sweet
630,2024,Farmhouse Sweet,🥉 Bronze,X,Dowding's,Dowding's Tower Brue Sweet Cider
631,2024,Farmhouse Sweet,🥉 Bronze,X,Alex Hill,Bollhayes
632,2024,Farmhouse Sweet,🥉 Bronze,2990,Loader's Cider,Loader's Sweet Yarmill
633,2024,Farmhouse Sweet,🥉 Bronze,2990,Loader's Cider,Loader's Sweet Longaller
634,2024,Farmhouse Sweet,🥉 Bronze,X,Moons Cider,Farmhouse Sweet Cider
635,2024,Farmhouse Sweet,🥉 Bronze,2531,Rawlins Family Cider,Sweet
636,2024,Farmhouse Sweet,🥉 Bronze,2519,Shed Cider,Sweet Farmhouse
637,2024,Farmhouse Sweet,🥉 Bronze,3041,Sisson & Smith,Sweet #1
638,2024,Supreme British Champion Cider — The Rupert Best Cup,🏆 Champion,1448,Bere Cider Company,Yarlington Mill
639,2024,Supreme British Champion Cider — The Rupert Best Cup,🏆 Reserve,2531,Rawlins Family Cider,Medium
640,2024,British Champion Farmhouse Cider — The Worshipful Company of Pewterer's Perpetual Cup,🏆 Champion,2520,Palmers Upland Cyder,Rubber Chicken
641,2024,British Champion Farmhouse Cider — The Worshipful Company of Pewterer's Perpetual Cup,🏆 Reserve,3041,Sisson & Smith,Sweet #2
642,2024,British Champion Perry — The Lawrence Reilly Perry Cup,🏆 Champion,1113,Hecks Cider,Keeved Oldfield Perry
643,2024,British Champion Perry — The Lawrence Reilly Perry Cup,🏆 Reserve,X,Dr Rob Whale,Perry
644,2024,Best Fruit Cider — The Weston's Cider Organic Cider Cup,🏆 Winner,X,Dr Rob Whale,Pineapple Cider
645,2024,Best Fruit Cider — The Weston's Cider Organic Cider Cup,🏆 Reserve,X,Broadpool Cider,Broadpool Hopped
646,2024,Best Cider Adjudged (Classes 5 & 9) — The Arthur Davis Cider Cup,🏆 Winner,X,Wyldlands,Gold
647,2024,Best Cider Adjudged (Classes 5 & 9) — The Arthur Davis Cider Cup,🏆 Reserve,1448,Bere Cider Company,Yarlington Mill
648,2024,Cider Newcomer Award — The Vigo Trophy,🏆 Winner,X,Steve Faulkner,Molly's Cider
649,2024,Cider Newcomer Award — The Vigo Trophy,🏆 Reserve,X,Dinnington Cider Press,Cidre Bouché
