Medalist,Region,Year,🥇 Gold,🥈 Silver,🥉 Bronze,🏅 Total,First,Last,Years,City,Region,Status,Website,Facebook,Instagram,Google,Yelp,TripAdvisor,Untappd
19 Acres Cider Co.,Oregon,2023,0,1,0,1,2022,2024,3,Sherwood,Oregon,Active,https://19acres.com/,https://www.facebook.com/19AcresCiderCo/,https://www.instagram.com/19acresciderco/,https://maps.google.com/?cid=4476171369322689525,https://www.yelp.com/biz/19-acres-cider-co-sherwood,https://www.tripadvisor.com/Restaurant_Review-g52068-d25236157,https://untappd.com/19AcresHardCider
Double Mountain Brewery & Cidery,Oregon,2023,0,1,0,1,2023,2024,2,Hood River,Oregon,Active,http://www.doublemountainbrewery.com/,https://www.facebook.com/doublemountainbrewery,https://www.instagram.com/doublemountain,https://maps.google.com/?cid=2446696276607943242,https://www.yelp.com/biz/double-mountain-brewery-hood-river,https://www.tripadvisor.com/Restaurant_Review-g51909-d2186972,https://untappd.com/w/double-mountain-brewery-taproom/462
Finnriver Farm & Cidery,Washington,2023,0,1,0,1,2014,2024,9,Chimacum,Washington,Active,https://www.finnriver.com/,https://www.facebook.com/finnriver,https://www.instagram.com/finnriver/,https://maps.google.com/?cid=1802892066987578987,https://www.yelp.com/biz/finnriver-farm-and-cidery-chimacum,https://www.tripadvisor.com/Attraction_Review-g58399-d10595866,https://untappd.com/w/finnriver-farm-and-cidery/3008
Heartland Ciderworks,Oregon,2023,0,1,0,1,2023,2023,1,Rickreall,Oregon,Active,,https://www.facebook.com/HeartlandCiderworks,https://www.instagram.com/heartland_ciderworks/,,,,https://untappd.com/HeartlandCiderworks
Kristof Farms Cider,Oregon,2023,0,1,0,1,2023,2024,2,Yamhill,Oregon,Active,https://www.kristoffarms.com/,https://www.facebook.com/KristofFarms/,https://www.instagram.com/kristoffarms/,,,,https://untappd.com/w/kristof-farms/524122
Highpoint Cider,Idaho,2023,0,0,1,1,2023,2024,2,Victor,Idaho,Active,https://highpointcider.com/,https://www.facebook.com/Highpointcider/,https://www.instagram.com/highpointcider/,https://maps.google.com/?cid=12149721453883945516,,,https://untappd.com/Highpoint_Cider
Incline Cider Company,Washington,2023,0,0,1,1,2019,2024,4,Auburn,Washington,Active,http://www.inclinecider.com/,https://www.facebook.com/inclinecider/,https://www.instagram.com/inclinecider/,https://maps.google.com/?cid=504944612388443997,https://www.yelp.com/biz/incline-cider-house-tacoma,https://www.tripadvisor.com/Attraction_Review-g58775-d22266571,https://untappd.com/w/incline-cider-company/249584
Shuswap Cider Company,British Columbia,2023,0,0,1,1,2023,2024,2,Salmon Arm,British Columbia,Active,https://shuswapcider.com/,https://www.facebook.com/shuswapcider,https://www.instagram.com/shuswapcider/,https://maps.google.com/?cid=7673276959575565826,,,https://untappd.com/w/shuswap-cider-co/503328
Bauman's Cider,Oregon,2024,2,2,3,7,2017,2024,7,Gervais,Oregon,Active,https://baumanscider.com/,https://www.facebook.com/Baumanscider/,https://www.instagram.com/baumanscider/,https://maps.google.com/?cid=10038644588886302965,https://www.yelp.com/biz/baumans-farm-and-garden-gervais,https://www.tripadvisor.com/Attraction_Review-g51881-d6848567,https://untappd.com/w/baumans-cider-company/253872
2 Towns Ciderhouse,Oregon,2024,2,4,0,6,2015,2024,9,Corvallis,Oregon,Active,http://www.2townsciderhouse.com/,https://www.facebook.com/2townsciderhouse,https://www.instagram.com/2townscider/,https://maps.google.com/?cid=10429935694700508047,https://www.yelp.com/biz/2-towns-ciderhouse-corvallis,https://www.tripadvisor.com/Attraction_Review-g51817-d3417221,https://untappd.com/w/2-towns-ciderhouse/12975
Seattle Cider Company,Washington,2024,3,1,1,5,2015,2024,7,Seattle,Washington,Active,http://www.seattlecidercompany.com/,https://www.facebook.com/SeattleCiderCo,https://www.instagram.com/seattleciderco/,https://maps.google.com/?cid=10339393864619567754,https://www.yelp.com/biz/seattle-cider-company-seattle,,https://untappd.com/w/seattle-cider-company/75923
Shuswap Cider Company,British Columbia,2024,2,1,0,3,2023,2024,2,Salmon Arm,British Columbia,Active,https://shuswapcider.com/,https://www.facebook.com/shuswapcider,https://www.instagram.com/shuswapcider/,https://maps.google.com/?cid=7673276959575565826,,,https://untappd.com/w/shuswap-cider-co/503328
Cockrell Cider Farm,Washington,2024,0,0,3,3,2024,2024,1,Puyallup,Washington,Active,http://www.cockrellbrewing.com/,https://www.facebook.com/cockrellcider/,https://www.instagram.com/cockrellhardcider,https://maps.google.com/?cid=6832353082997005018,https://www.yelp.com/biz/cockrell-brewing-puyallup,https://www.tripadvisor.com/Attraction_Review-g58693-d13155999,https://untappd.com/w/cockrell-brewing/157444
Kristof Farms Cider,Oregon,2024,1,1,0,2,2023,2024,2,Yamhill,Oregon,Active,https://www.kristoffarms.com/,https://www.facebook.com/KristofFarms/,https://www.instagram.com/kristoffarms/,,,,https://untappd.com/w/kristof-farms/524122
Rootwood Cider Co.,Washington,2024,1,1,0,2,2018,2024,6,Manson,Washington,Active,http://www.rootwoodcider.com/,https://www.facebook.com/rootwoodciderco/,https://www.instagram.com/rootwoodcider/,https://maps.google.com/?cid=1905642347995959494,https://www.yelp.com/biz/rootwood-cider-taproom-manson,https://www.tripadvisor.com/Attraction_Review-g58587-d10522833,https://untappd.com/w/rootwood-cider-co/223706
Union Hill Cider Co.,Washington,2024,1,1,0,2,2023,2024,2,East Wenatchee,Washington,Active,https://www.unionhillciderco.com/,https://www.facebook.com/UnionHillCiderCo/,https://www.instagram.com/unionhillciderco/,https://maps.google.com/?cid=15999164221517255413,https://www.yelp.com/biz/union-hill-cider-east-wenatchee,,https://untappd.com/UnionHillCiderCo
Avid Cider,Oregon,2024,1,0,1,2,2022,2024,2,Bend,Oregon,Active,https://avidcider.com/,https://www.facebook.com/AVIDCider/,https://www.instagram.com/avidcidercompany/,,https://www.yelp.com/biz/atlas-cider-co-bend-2,https://www.tripadvisor.com/Attraction_Review-g51766-d6870614,https://untappd.com/w/atlas-cider-company/65739
Empyrical Orchard & Cidery,Washington,2024,1,0,1,2,2023,2024,2,Snohomish,Washington,Active,,https://www.facebook.com/profile.php?id=100068960115984,https://www.instagram.com/empyricalcider/,,,,https://untappd.com/w/empyrical-orchard-cidery/507102
Puget Sound Cider Company,Washington,2024,1,0,1,2,2021,2024,4,Renton,Washington,Active,https://www.shopantiques4u.com/puget-sound-cider-co,https://www.facebook.com/PugetSoundCiderCo/,https://www.instagram.com/pugetsoundcider/,https://maps.google.com/?cid=8204287304413477076,,,https://untappd.com/w/puget-sound-cider-company/436269
19 Acres Cider Co.,Oregon,2024,0,1,1,2,2022,2024,3,Sherwood,Oregon,Active,https://19acres.com/,https://www.facebook.com/19AcresCiderCo/,https://www.instagram.com/19acresciderco/,https://maps.google.com/?cid=4476171369322689525,https://www.yelp.com/biz/19-acres-cider-co-sherwood,https://www.tripadvisor.com/Restaurant_Review-g52068-d25236157,https://untappd.com/19AcresHardCider
Victoria Cider Co.,British Columbia,2024,0,1,1,2,2022,2024,3,Victoria,British Columbia,Active,https://www.victoriaciderco.ca/,https://www.facebook.com/victoriaciderco,https://www.instagram.com/victoriaciderco/,https://maps.google.com/?cid=4973668223480997484,https://www.yelp.ca/biz/victoria-cider-north-saanich,https://www.tripadvisor.com/Attraction_Review-g154945-d24170707,https://untappd.com/w/victoria-cider-co/523117
Yonder Cider,Washington,2024,0,0,2,2,2021,2024,3,Seattle,Washington,Active,http://www.yondercider.com/,https://www.facebook.com/yondercider,https://www.instagram.com/yondercider/,https://maps.google.com/?cid=11002201593648505227,https://www.yelp.com/biz/yonder-cider-seattle,,https://untappd.com/w/yonder-cider/474448
Endless Orchard Cider,Washington,2024,1,0,0,1,2024,2024,1,Chelan,Washington,Active,https://endlessorchardcider.com/,https://www.facebook.com/endlessorchardcider,https://www.instagram.com/endlessorchardcider,https://maps.google.com/?cid=8631759352853643868,,,https://untappd.com/w/endless-orchard-hard-pressed-cider/554146
Nashi Orchards,Washington,2024,1,0,0,1,2024,2024,1,Vashon,Washington,Active,http://www.nashiorchards.com/,https://www.facebook.com/nashiorchards,https://www.instagram.com/nashi_orchards/,https://maps.google.com/?cid=12360902013052761069,https://www.yelp.com/biz/nashi-orchards-winery-vashon,https://www.tripadvisor.com/Attraction_Review-g58805-d9564025,https://untappd.com/w/nashi-orchards/113169
Barmann Cellars,Oregon,2024,0,1,0,1,2024,2024,1,Bend,Oregon,Active,https://avidcider.com/,https://www.facebook.com/AVIDCider/,https://www.instagram.com/avidcidercompany/,,https://www.yelp.com/biz/atlas-cider-co-bend-2,https://www.tripadvisor.com/Attraction_Review-g51766-d6870614,https://untappd.com/w/atlas-cider-company/65739
Double Mountain Brewery & Cidery,Oregon,2024,0,1,0,1,2023,2024,2,Hood River,Oregon,Active,http://www.doublemountainbrewery.com/,https://www.facebook.com/doublemountainbrewery,https://www.instagram.com/doublemountain,https://maps.google.com/?cid=2446696276607943242,https://www.yelp.com/biz/double-mountain-brewery-hood-river,https://www.tripadvisor.com/Restaurant_Review-g51909-d2186972,https://untappd.com/w/double-mountain-brewery-taproom/462
Finnriver Farm & Cidery,Washington,2024,0,1,0,1,2014,2024,9,Chimacum,Washington,Active,https://www.finnriver.com/,https://www.facebook.com/finnriver,https://www.instagram.com/finnriver/,https://maps.google.com/?cid=1802892066987578987,https://www.yelp.com/biz/finnriver-farm-and-cidery-chimacum,https://www.tripadvisor.com/Attraction_Review-g58399-d10595866,https://untappd.com/w/finnriver-farm-and-cidery/3008
Highpoint Cider,Idaho,2024,0,1,0,1,2023,2024,2,Victor,Idaho,Active,https://highpointcider.com/,https://www.facebook.com/Highpointcider/,https://www.instagram.com/highpointcider/,https://maps.google.com/?cid=12149721453883945516,,,https://untappd.com/Highpoint_Cider
Incline Cider Company,Washington,2024,0,1,0,1,2019,2024,4,Auburn,Washington,Active,http://www.inclinecider.com/,https://www.facebook.com/inclinecider/,https://www.instagram.com/inclinecider/,https://maps.google.com/?cid=504944612388443997,https://www.yelp.com/biz/incline-cider-house-tacoma,https://www.tripadvisor.com/Attraction_Review-g58775-d22266571,https://untappd.com/w/incline-cider-company/249584
La Familia Cider Company,Oregon,2024,0,1,0,1,2017,2024,2,Salem,Oregon,Active,https://lafamiliacider.com/,https://www.facebook.com/lafamiliacider/,https://www.instagram.com/lafamiliacider/,https://maps.google.com/?cid=3685332940132306085,https://www.yelp.com/biz/la-familia-cider-salem,https://www.tripadvisor.com/Restaurant_Review-g52053-d23878155,https://untappd.com/LaFamiliaCider
Peak Light Cider Company,Oregon,2024,0,1,0,1,2021,2024,3,Sauvie Island,Oregon,Active,https://peaklightcider.com/,https://www.facebook.com/peaklightcider,https://www.instagram.com/peaklightcider/,https://maps.google.com/?cid=10958770531628316703,,,https://untappd.com/PeakLightCider
Portland Cider Company,Oregon,2024,0,1,0,1,2017,2024,3,Clackamas,Oregon,Active,http://portlandcider.com/,https://www.facebook.com/portlandcider,https://www.instagram.com/portlandcider/,https://maps.google.com/?cid=5897814277091816079,https://www.yelp.com/biz/portland-cider-company-clackamas,https://www.tripadvisor.com/Restaurant_Review-g51806-d6996793,https://untappd.com/w/portland-cider-company/56260
Renaissance Orchards,Washington,2024,0,1,0,1,2024,2024,1,Ferndale,Washington,Active,https://renaissanceorchards.com/,https://www.facebook.com/RenaissanceOrchardsCider/,https://www.instagram.com/renaissanceorchards/,https://maps.google.com/?cid=8299199662211416163,,,https://untappd.com/RenaissanceOrchards
Idol Cider House,Oregon,2024,0,0,1,1,2022,2024,2,Turner,Oregon,Active,https://idyll-acres.com/,,https://www.instagram.com/idol_cider_house/,,,,https://untappd.com/IdolCiderHouse
Lost Giants Cider Company,Washington,2024,0,0,1,1,2024,2024,1,Bellingham,Washington,Active,https://lostgiantscider.com/,https://www.facebook.com/LostGiantsCider,https://www.instagram.com/lostgiantsciderco,https://maps.google.com/?cid=3699889965366654678,https://www.yelp.com/biz/lost-giants-cider-company-bellingham,,https://untappd.com/w/lost-giants-cider-company/395484
Sea Cider Farm & Ciderhouse,British Columbia,2024,0,0,1,1,2018,2024,6,Saanichton,British Columbia,Active,https://www.seacider.ca/,https://www.facebook.com/seacider,https://www.instagram.com/seaciderhouse/,https://maps.google.com/?cid=689108951249608790,https://www.yelp.com/biz/sea-cider-farm-and-ciderhouse-saanichton,https://www.tripadvisor.com/Attraction_Review-g184850-d2392234,https://untappd.com/w/sea-cider-farm-and-ciderhouse/4780
Stray Cider,Oregon,2024,0,0,1,1,2024,2024,1,Clackamas,Oregon,Active,,,https://www.instagram.com/straycider/,,,,https://untappd.com/w/stray-cider/538425
<b>Total</b>,,2014,<b>5</b>,<b>7</b>,<b>5</b>,<b>17</b>,,,,,,,,,,,,,
<b>Total</b>,,2015,<b>7</b>,<b>7</b>,<b>8</b>,<b>22</b>,,,,,,,,,,,,,
<b>Total</b>,,2016,<b>7</b>,<b>8</b>,<b>11</b>,<b>26</b>,,,,,,,,,,,,,
<b>Total</b>,,2017,<b>8</b>,<b>11</b>,<b>12</b>,<b>31</b>,,,,,,,,,,,,,
<b>Total</b>,,2018,<b>16</b>,<b>16</b>,<b>15</b>,<b>47</b>,,,,,,,,,,,,,
<b>Total</b>,,2019,<b>14</b>,<b>19</b>,<b>15</b>,<b>48</b>,,,,,,,,,,,,,
<b>Total</b>,,2021,<b>16</b>,<b>16</b>,<b>13</b>,<b>45</b>,,,,,,,,,,,,,
<b>Total</b>,,2022,<b>20</b>,<b>22</b>,<b>18</b>,<b>60</b>,,,,,,,,,,,,,
<b>Total</b>,,2023,<b>18</b>,<b>17</b>,<b>16</b>,<b>51</b>,,,,,,,,,,,,,
<b>Total</b>,,2024,<b>17</b>,<b>22</b>,<b>18</b>,<b>57</b>,,,,,,,,,,,,,
