Year,Medal,Entrant,Entry,Style,Place
2018,🥉 BRONZE,Haykin Family Cider,Winter,Modern Cider - Sweet,
2017,🏆 BEST IN CLASS,Haykin Family Cider,Esopus Spitzenburg,Modern Cider - Sweet,1st Place
2017,🥇 GOLD,Haykin Family Cider,Golden Delicious / Ashmead's Kernel,Heritage Cider - Dry,
2017,🥈 SILVER,Haykin Family Cider,Akane,Modern Cider - Sweet,
2017,🥈 SILVER,Haykin Family Cider,Earnest Cider,Heritage Cider - Sweet,
2017,🥈 SILVER,Haykin Family Cider,Kinderkrisp,Modern Cider - Sweet,
2017,🥈 SILVER,Haykin Family Cider,Mollet de Carney,Traditional Cider - Sweet,
2017,🥈 SILVER,Haykin Family Cider,Redfree,Modern Cider - Dry,
2017,🥈 SILVER,Haykin Family Cider,Scarlet Surprise,Modern Cider - Sweet,
2017,🥉 BRONZE,Haykin Family Cider,Ashmead's Kernel,Heritage Cider - Sweet,
2017,🥉 BRONZE,Haykin Family Cider,Cox's Orange Pippin / Ashmead's Kernel,Heritage Cider - Sweet,
2017,🥉 BRONZE,Haykin Family Cider,Dolgo Crabapple,Modern Cider - Dry,
2017,🥉 BRONZE,Haykin Family Cider,Harrow Sweet,Modern Perry,
2017,🥉 BRONZE,Haykin Family Cider,Masonville Fall Blend,Modern Cider - Sweet,
2017,🥉 BRONZE,Haykin Family Cider,Ruby Jon,Modern Cider - Sweet,
2023,🥈 SILVER,Hazlitt 1852 Cider Crafters,Hazlitt's Cider Tree,Modern Cider - Sweet,
2023,🥉 BRONZE,Hazlitt 1852 Cider Crafters,Hazlitt's Cider Tree Cinnamon Spice,Botanical Cider,
2023,🥉 BRONZE,Hazlitt 1852 Cider Crafters,Hazlitt's Cider Tree Light 'n Dry,Modern Cider - Dry,
2023,🥉 BRONZE,Hazlitt 1852 Cider Crafters,Hazlitt's Cider Tree with Citra Hops,Hopped Cider,
2022,🥈 SILVER,Hazlitt 1852 Cider Crafters,Hazlitt's Cider Tree Cinnamon Spice,Botanical Cider,
2022,🥈 SILVER,Hazlitt 1852 Cider Crafters,Hazlitt's Cider Tree with Citra Hops,Hopped Cider,
2022,🥉 BRONZE,Hazlitt 1852 Cider Crafters,Hazlitt's Cider Tree,Modern Cider - Sweet,
2021,🥈 SILVER,Hazlitt 1852 Cider Crafters,Cider Tree Cinnamon Spice,Botanical Cider,
2021,🥈 SILVER,Hazlitt 1852 Cider Crafters,Cider Tree with Citra Hops,Hopped Cider,
2021,🥉 BRONZE,Hazlitt 1852 Cider Crafters,Cider Tree,Modern Cider - Sweet,
2021,🥉 BRONZE,Hazlitt 1852 Cider Crafters,Cider Tree Light 'n Dry,Modern Cider - Dry,
2019,🥈 SILVER,Hazlitt 1852 Cider Crafters,Hazlitt's Cider Tree Cinnamon Spice,Spiced Cider,
2019,🥈 SILVER,Hazlitt 1852 Cider Crafters,Hazlitt's Cider Tree with Citra Hops,Hopped Cider,
2019,🥉 BRONZE,Hazlitt 1852 Cider Crafters,Hazlitt's Cider Tree,Modern Cider - Sweet,
2019,🥉 BRONZE,Hazlitt 1852 Cider Crafters,Hazlitt's Cider Tree Light 'n Dry,Modern Cider - Sweet,
2018,🥈 SILVER,Hazlitt 1852 Cider Crafters,Hazlitt's Cider Tree,Modern Cider - Sweet,
2018,🥈 SILVER,Hazlitt 1852 Cider Crafters,Hazlitt's Cider Tree Cinnamon Spice,Spiced Cider,
2018,🥉 BRONZE,Hazlitt 1852 Cider Crafters,Hazlitt's Cider Tree Light 'n Dry,Modern Cider - Sweet,
2017,🥇 GOLD,Hazlitt 1852 Cider Crafters,Cider Tree Elderflower,Specialty Cider and Perry,
2017,🥈 SILVER,Hazlitt 1852 Cider Crafters,Cider Tree Cinnamon Spice,Spiced Cider,
2017,🥉 BRONZE,Hazlitt 1852 Cider Crafters,Cider Tree Vanilla Oak,Wood Aged Cider,
2016,🥈 SILVER,Hazlitt 1852 Cider Crafters,Hazlitt's Cider Tree - Cinnamon Spice,Spiced Cider,
2016,🥈 SILVER,Hazlitt 1852 Cider Crafters,Hazlitt's Cider Tree - Light 'n Dry,Modern Cider,
2021,🥈 SILVER,Headwater Cider,Fife,Modern Cider - Dry,
2021,🥈 SILVER,Headwater Cider,Headwater Ice Cider,Ice Cider,
2021,🥉 BRONZE,Headwater Cider,Hey Nineteen,Modern Cider - Dry,
2018,🥉 BRONZE,Headwater Cider,Homestead,Modern Cider - Dry,
2017,🥇 GOLD,Headwater Cider,Clesson,Modern Cider - Dry,
2016,🥈 SILVER,Headwater Cider,New England Dry,Modern Cider,
2015,🥉 BRONZE,Headwater Cider,New England Dry,Modern Cider,
2023,🥉 BRONZE,Heartland Ciderworks,Avalon,Traditional Cider - Dry,
2019,🥉 BRONZE,Heartwood Farm & Cidery,Currant Affair,Fruit Cider,
2019,🥉 BRONZE,Heartwood Farm & Cidery,Hoppity,Hopped Cider,
2019,🥉 BRONZE,Heartwood Farm & Cidery,Malus Mystic,Spiced Cider,
2018,🥉 BRONZE,Heartwood Farm & Cidery,Currant Affair,Fruit Cider,
2018,🥉 BRONZE,Heartwood Farm & Cidery,Dry Maple,Modern Cider - Dry,
2018,🥉 BRONZE,Heartwood Farm & Cidery,Eve Goes Badass,Specialty Cider and Perry,
2017,🥈 SILVER,Heartwood Farm & Cidery,Currant Affair,Fruit Cider,
2017,🥉 BRONZE,Heartwood Farm & Cidery,Dry Maple Cider,Modern Cider - Dry,
2017,🥉 BRONZE,Heartwood Farm & Cidery,Hoppity,Hopped Cider,
2023,🥇 GOLD,Heeman's,Dry Empire,Modern Cider - Dry,
2023,🥈 SILVER,Heeman's,Berry Blush,Fruit Cider,
2022,🥇 GOLD,Heeman's,Strawberry-Rhubarb Cider,Fruit Cider,
2022,🥈 SILVER,Heeman's,Berry Blush Hard Cider,Fruit Cider,
2022,🥉 BRONZE,Heeman's,Dry Empire Hard Apple Cider,Modern Cider - Dry,
2022,🥉 BRONZE,Heeman's,Dry Hopped Hard Cider,Hopped Cider,
2021,🏆 BEST IN CLASS,Heeman's,New Traditions,Traditional Cider - Sweet,3rd Place
2021,🥈 SILVER,Heeman's,Barrel-Aged Pear,Wood Aged Specialty Cider,
2021,🥈 SILVER,Heeman's,Berry Blush,Fruit Cider,
2021,🥈 SILVER,Heeman's,Blue Berry,Fruit Cider,
2021,🥈 SILVER,Heeman's,Dry Empire,Modern Cider - Dry,
2021,🥈 SILVER,Heeman's,Dry Hopped,Hopped Cider,
2021,🥈 SILVER,Heeman's,Heeman's Original,Modern Cider - Sweet,
2023,🥈 SILVER,Heirloom Hill Cider Company,Northern Star,Heritage Cider - Dry,
2023,🥉 BRONZE,Heirloom Hill Cider Company,Mystique,Heritage Cider - Sweet,
2009,🥈 SILVER,Henney's Cider,Frome Valley Sweet,English Cider,
2009,🥉 BRONZE,Henney's Cider,Vintage,English Cider,
2009,🥉 BRONZE,Hideout Brewing Company,Hideout Cider,New World Cider,
2021,🥈 SILVER,High Hope Cider,Union Farm,Heritage Cider - Dry,
2021,🥉 BRONZE,High Hope Cider,Bitter Cider,Specialty Cider and Perry,
2021,🥉 BRONZE,High Hope Cider,Shipladder 2018,Heritage Cider - Dry,
2017,🥉 BRONZE,Himachal,Himachal,Unlimited Cider and Perry,
2016,🥉 BRONZE,Himachal,Himachal Premium Indian Cider,Unlimited Cider and Perry,
2019,🏆 BEST IN CLASS,Hogan's Cider,Libertine,Traditional Cider - Sweet,1st Place
2019,🥈 SILVER,Hogan's Cider,Vintage Perry 2017,Traditional Perry,
2019,🥉 BRONZE,Hogan's Cider,Killer Sharp,Traditional Cider - Dry,
2018,🏆 BEST IN CLASS,Hogan's Cider,Vintage Perry,Traditional Perry,1st Place
2018,🥈 SILVER,Hogan's Cider,French Revelation,Traditional Cider - Sweet,
2018,🥈 SILVER,Hogan's Cider,Libertine,Traditional Cider - Sweet,
2018,🥈 SILVER,Hogan's Cider,Vintage Cider,Traditional Cider - Dry,
2017,🥇 GOLD,Hogan's Cider,Libertine,Specialty Cider and Perry,
2017,🥈 SILVER,Hogan's Cider,Hogan's Medium,Traditional Cider - Sweet,
2017,🥈 SILVER,Hogan's Cider,Killer Sharp,Specialty Cider and Perry,
2017,🥈 SILVER,Hogan's Cider,Wild Elder,Specialty Cider and Perry,
2016,🥈 SILVER,Hogan's Cider,Hogan's Medium Cider,English Cider,
2016,🥉 BRONZE,Hogan's Cider,Hogan's Dry Cider,English Cider,
2016,🥉 BRONZE,Hogan's Cider,Hogan's Vintage Perry,Traditional Perry,
2015,🥈 SILVER,Hogan's Cider,Hogan's Dry Cider,English Cider,
2015,🥉 BRONZE,Hogan's Cider,Hogan's Medium Cider,English Cider,
2015,🥉 BRONZE,Hogan's Cider,Hogan's Mulled Cider,Spiced Cider,
2014,🏆 BEST IN CLASS,Hogan's Cider,Hogan's Vintage Perry 2010,Traditional Perry,2nd Place
2014,🥇 GOLD,Hogan's Cider,Hogan's Medium Cider,English Cider,
2014,🥈 SILVER,Hogan's Cider,Hogan's Dry Cider,English Cider,
2013,🥈 SILVER,Hogan's Cider,Hogan's Dry Cider,English Cider,
2013,🥈 SILVER,Hogan's Cider,Hogan's Medium Cider,English Cider,
2013,🥉 BRONZE,Hogan's Cider,Hogan's Vintage Perry,Traditional Perry,
2012,🏆 BEST IN CLASS,Hogan's Cider,Hogan's Medium Cider,English Cider,1st Place
2012,🥈 SILVER,Hogan's Cider,Hogan's Dry Cider,English Cider,
2012,🥉 BRONZE,Hogan's Cider,Hogan's Traditional Perry,Traditional Perry,
2011,🏆 BEST IN CLASS,Hogan's Cider,Hogan's Dry Cider,English Cider,1st Place
2011,🥇 GOLD,Hogan's Cider,Hogan's Medium Cider,English Cider,
2011,🥇 GOLD,Hogan's Cider,Hogan's Vintage Perry,Traditional Perry,
2015,🥉 BRONZE,Hoity Toity Cellars,66 Pick Up,Modern Cider,
2014,🥇 GOLD,Hoity Toity Cellars,66 Pick Up,New World Cider,
2013,🥇 GOLD,Hoity Toity Cellars,Gravel Run Cider,New World Cider,
2013,🥉 BRONZE,Hoity Toity Cellars,Whipper Snapper Cider,Specialty Cider and Perry,
2012,🥉 BRONZE,Hoity Toity Cellars,Gravel Run Cider,New World Cider,
2007,🥈 SILVER,Holmberg Orchards & Winery,Russett,New World Cider,
2007,🥉 BRONZE,Holmberg Orchards & Winery,3 Sheets,Applewine,
2007,🥉 BRONZE,Holmberg Orchards & Winery,Cortland,New World Cider,
2018,🥈 SILVER,Hudson Valley Farmhouse Cider,Maeve's,Modern Cider - Sweet,
2018,🥈 SILVER,Hudson Valley Farmhouse Cider,The Last Blacksmith,Heritage Cider - Dry,
2018,🥉 BRONZE,Hudson Valley Farmhouse Cider,Farmhouse Traditional,Heritage Cider - Dry,
2018,🥉 BRONZE,Hudson Valley Farmhouse Cider,God Speed the Plow,Heritage Cider - Dry,
2017,🥈 SILVER,Humboldt Cider Company,McIntosh,Modern Cider - Dry,
2017,🥉 BRONZE,Humboldt Cider Company,Passion Of The Fruit,Fruit Cider,
2016,🥇 GOLD,Humboldt Cider Company,Cherry,Fruit Cider,
2016,🥈 SILVER,Humboldt Cider Company,3 Amigos,Modern Cider,
2016,🥈 SILVER,Humboldt Cider Company,Gravenstein,Modern Cider,
2016,🥉 BRONZE,Humboldt Cider Company,"Empty Barrels, Broken Hearts",Wood Aged Cider and Perry,
2016,🥉 BRONZE,Humboldt Cider Company,Hopped Up,Hopped/Herbal Cider,
2015,🥉 BRONZE,Humboldt Cider Company,Expecting Confidence,Applewine,
2015,🥉 BRONZE,Humboldt Cider Company,HCC McIntosh,Modern Cider,
2015,🥉 BRONZE,Humboldt Cider Company,HCC Sierra Beauty,Modern Cider,
2023,🏆 BEST IN CLASS,Idol Cider House,Pomme Crush,Traditional Cider - Dry,1st Place
2023,🥉 BRONZE,Idol Cider House,Bitter End,Traditional Cider - Dry,
2022,🥈 SILVER,Idol Cider House,Claystone,Heritage Cider - Dry,
2022,🥈 SILVER,Idol Cider House,Long Haul,Traditional Cider - Dry,
2022,🥈 SILVER,Idol Cider House,Orchard Select,Heritage Cider - Dry,
2022,🥈 SILVER,Idol Cider House,Wild Card,Traditional Cider - Dry,
2023,🏆 BEST IN CLASS,Incline Cider Company,Marionberry,Fruit Cider,2nd Place
2023,🥈 SILVER,Incline Cider Company,Cucumber Jalapeno,Unlimited Cider and Perry,
2023,🥈 SILVER,Incline Cider Company,Prickly Pear,Fruit Cider,
2023,🥈 SILVER,Incline Cider Company,Tart Cherry,Fruit Cider,
2023,🥈 SILVER,Incline Cider Company,The Tropics,Fruit Cider,
2023,🥉 BRONZE,Incline Cider Company,Beare's Original Haze,Modern Cider - Sweet,
2023,🥉 BRONZE,Incline Cider Company,Blood Orange,Fruit Cider,
2023,🥉 BRONZE,Incline Cider Company,Hazy Honeycrisp,Unlimited Cider and Perry,
2019,🥇 GOLD,Incline Cider Company,Compass Rosé,Spiced Cider,
2019,🥈 SILVER,Incline Cider Company,Marionberry Cider,Fruit Cider,
2019,🥈 SILVER,Incline Cider Company,The Explorer Hopped,Hopped Cider,
2019,🥈 SILVER,Incline Cider Company,White Peach,Fruit Cider,
2019,🥉 BRONZE,Incline Cider Company,Lemongrass Cider,Spiced Cider,
2018,🥇 GOLD,Incline Cider Company,The Legend Lemongrass,Specialty Cider and Perry,
2018,🥈 SILVER,Incline Cider Company,The Explorer Hopped,Hopped Cider,
2018,🥈 SILVER,Incline Cider Company,The Scout Marionberry,Fruit Cider,
2017,🥈 SILVER,Incline Cider Company,The Explorer Hopped Cider,Hopped Cider,
2017,🥈 SILVER,Incline Cider Company,The Scout Marionberry Cider,Specialty Cider and Perry,
2017,🥉 BRONZE,Incline Cider Company,The Legend Lemongrass Cider,Specialty Cider and Perry,
2019,🥈 SILVER,Independent Perry,Lavender Perry,Spiced Cider,
2019,🥉 BRONZE,Independent Perry,Bartlett Perry,Modern Perry,
2019,🥉 BRONZE,Independent Perry,Sno Gem Perry,Modern Perry,
2023,🥈 SILVER,Institut Agricole Régional,Reborn,Specialty Cider and Perry,
2022,🥈 SILVER,Institut Agricole Régional,Aronia Flavour-ozed,Fruit Cider,
2023,🥈 SILVER,Ironbark Ciderworks,Duchess,Botanical Cider,
2023,🥈 SILVER,Ironbark Ciderworks,Lestat,Fruit Cider,
2023,🥈 SILVER,Ironbark Ciderworks,Passionista,Fruit Cider,
2023,🥈 SILVER,Ironbark Ciderworks,Sassy Simpson,Fruit Cider,
2023,🥉 BRONZE,Ironbark Ciderworks,Hoppelgänger,Hopped Cider,
2019,🥇 GOLD,Ironwood Hard Cider,Original Hard Apple,Modern Cider - Sweet,
2019,🥈 SILVER,Ironwood Hard Cider,Dry Hopped Cider,Hopped Cider,
2019,🥉 BRONZE,Ironwood Hard Cider,Perry,Modern Perry,
2019,🥉 BRONZE,Ironwood Hard Cider,Tart Cherry,Fruit Cider,
2018,🥈 SILVER,Ironwood Hard Cider,Oak Aged,Wood Aged Cider,
2018,🥉 BRONZE,Ironwood Hard Cider,Cowabunga! Cranberry Cider,Fruit Cider,
2017,🥉 BRONZE,Ironwood Hard Cider,Tres Robles (oaked),Wood Aged Cider,
2016,🥉 BRONZE,Ironwood Hard Cider,Lakeshore Fresh Hopped Cider,Hopped/Herbal Cider,
2023,🥈 SILVER,Island Folk Cider House,Blowing Raspberries,Specialty Cider and Perry,
2023,🥈 SILVER,Island Folk Cider House,Lady Grey - Lemon & Earl Grey Tea,Unlimited Cider and Perry,
2023,🥈 SILVER,Island Folk Cider House,What the folk is haskap?,Fruit Cider,
2022,🥈 SILVER,Island Folk Cider House,Easy Beezy,Specialty Cider and Perry,
2022,🥈 SILVER,Island Folk Cider House,Rebel Rosé,Fruit Cider,
2022,🥈 SILVER,Island Folk Cider House,Summer Apple,Modern Cider - Dry,
2022,🥉 BRONZE,Island Folk Cider House,Good Company,Modern Cider - Dry,
2023,🥈 SILVER,Island Orchard Cider,Brut Apple Reserve,Traditional Cider - Dry,
2023,🥈 SILVER,Island Orchard Cider,Kingston Black,Traditional Cider - Dry,
2023,🥈 SILVER,Island Orchard Cider,Pear Reserve,Modern Perry,
2023,🥈 SILVER,Island Orchard Cider,Spruce Tip,Botanical Cider,
2022,🏆 BEST IN CLASS,Island Orchard Cider,Hopped Brut Apple,Hopped Cider,2nd Place
2022,🥇 GOLD,Island Orchard Cider,Apple Cherry Cider,Fruit Cider,
2022,🥈 SILVER,Island Orchard Cider,Apple Lavender Cider,Botanical Cider,
2022,🥈 SILVER,Island Orchard Cider,Brut Apple Reserve Cider,Traditional Cider - Dry,
2022,🥉 BRONZE,Island Orchard Cider,Apple Ginger Cider,Botanical Cider,
2022,🥉 BRONZE,Island Orchard Cider,Ice Cider,Ice Cider,
2022,🥉 BRONZE,Island Orchard Cider,Kingston Black Cider,Traditional Cider - Dry,
2022,🥉 BRONZE,Island Orchard Cider,Pomona,Fortified Cider,
2022,🥉 BRONZE,Island Orchard Cider,Still Beauty,Traditional Cider - Dry,
2021,🥈 SILVER,Island Orchard Cider,Apple Ginger,Botanical Cider,
2021,🥈 SILVER,Island Orchard Cider,Apple Lavender,Botanical Cider,
2021,🥈 SILVER,Island Orchard Cider,Oak Aged Brut Reserve,Wood Aged Cider,
2021,🥈 SILVER,Island Orchard Cider,Pear Reserve,Modern Perry,
2021,🥈 SILVER,Island Orchard Cider,Wild Thing,Traditional Cider - Dry,
2019,🥇 GOLD,Island Orchard Cider,Apple Ginger,Spiced Cider,
2019,🥈 SILVER,Island Orchard Cider,Apple Lavender,Spiced Cider,
2019,🥈 SILVER,Island Orchard Cider,Dolomite,Modern Cider - Sweet,
2019,🥈 SILVER,Island Orchard Cider,Still Beauty,Traditional Cider - Dry,
2019,🥉 BRONZE,Island Orchard Cider,Herbaceous Beast,Hopped Cider,
2019,🥉 BRONZE,Island Orchard Cider,Ice Cider,Ice Cider,
2019,🥉 BRONZE,Island Orchard Cider,Oak Aged Reserve,Wood Aged Cider,
2019,🥉 BRONZE,Island Orchard Cider,Pomona,Fortified Cider,
2017,🥉 BRONZE,Island Orchard Cider,Apple Ginger,Spiced Cider,
2017,🥉 BRONZE,Island Orchard Cider,Brut Apple Reserve,Heritage Cider - Dry,
2016,🥈 SILVER,Island Orchard Cider,Brut Apple Cider - Oak Aged,Wood Aged Cider and Perry,
2016,🥈 SILVER,Island Orchard Cider,Hopped Brut Reserve Bottle Conditioned Cider,Hopped/Herbal Cider,
2016,🥉 BRONZE,Island Orchard Cider,Apple Cherry Cider,Fruit Cider,
2016,🥉 BRONZE,Island Orchard Cider,Brut Apple Cider,Modern Cider,
2016,🥉 BRONZE,Island Orchard Cider,Pear Cider,New World Perry,
2016,🥉 BRONZE,Island Orchard Cider,Pear Reserve Bottle Conditioned,Traditional Perry,
2015,🥇 GOLD,Island Orchard Cider,Oak Aged Reserve Bottle Conditioned Cider ,Wood Aged Cider and Perry,
2015,🥈 SILVER,Island Orchard Cider,Apple Cherry Cider,Fruit Cider,
2015,🥈 SILVER,Island Orchard Cider,Brut Apple Cider,Modern Cider,
2015,🥈 SILVER,Island Orchard Cider,Brut Apple Cider - Oak Aged,Wood Aged Cider and Perry,
2015,🥈 SILVER,Island Orchard Cider,Hopped Brut Reserve Bottle Conditioned Cider,Hopped/Herbal Cider,
2015,🥈 SILVER,Island Orchard Cider,Kingston Black Bottle Conditioned Cider,Heritage Cider,
2015,🥈 SILVER,Island Orchard Cider,Pear Cider,New World Perry,
2015,🥈 SILVER,Island Orchard Cider,Pear Reserve Bottle Conditioned Pear,New World Perry,
2011,🥈 SILVER,J. Trees Cellars,Fuji Ice Cider,Ice Cider,
2018,🥈 SILVER,Jaanihanso Cider,Jaanihanso Vintage Doux Methode Traditionnelle 2015,Modern Cider - Sweet,
2018,🥈 SILVER,Jaanihanso Cider,Jaanihanso Vintage Rosé Methode Traditionnelle 2016,Specialty Cider and Perry,
2017,🏆 BEST IN CLASS,Jaanihanso Cider,Hopped Dry Cider,Hopped Cider,1st Place
2017,🏆 BEST IN CLASS,Jaanihanso Cider,SEC 2015 Methode Traditionnelle,Modern Cider - Dry,3rd Place
2017,🥈 SILVER,Jaanihanso Cider,BRUT 2014 Methode Traditionnelle,Heritage Cider - Dry,
2017,🥉 BRONZE,Jaanihanso Cider,Sherry Cask Aged Dry Cider,Wood Aged Cider,
2017,🥉 BRONZE,Jaanihanso Cider,Winter Cider 2015 Methode Traditionnelle,Spiced Cider,
2023,🏆 BEST IN CLASS,James Creek Cider House,Stargazer - Etoile,Traditional Cider - Sweet,1st Place
2023,🥈 SILVER,James Creek Cider House,Etude No 4 - Hewe's Crab,Heritage Cider - Dry,
2023,🥈 SILVER,James Creek Cider House,Stargazer - Southern English,Traditional Cider - Dry,
2023,🥉 BRONZE,James Creek Cider House,Stargazer - Mighty Hunter,Modern Cider - Dry,
2019,🥈 SILVER,James Creek Cider House,Harvest Moon - 2017,Traditional Cider - Dry,
2019,🥈 SILVER,James Creek Cider House,Whippoorwill - 2018,Traditional Cider - Dry,
2019,🥉 BRONZE,James Creek Cider House,Russets & 'Twigs - 2018,Traditional Cider - Dry,
2019,🥉 BRONZE,James Creek Cider House,Stargazer Cider - Solar Flare,Wood Aged Specialty Cider,
2018,🥈 SILVER,James Creek Cider House,Russets & 'Twigs,Traditional Cider - Dry,
2018,🥈 SILVER,James Creek Cider House,Stargazer Cider - Evening Star,Wood Aged Cider,
2018,🥈 SILVER,James Creek Cider House,Stargazer Cider - Prowling Peach,Fruit Cider,
2018,🥈 SILVER,James Creek Cider House,Stargazer Cider - Southern Star,Wood Aged Cider,
2018,🥉 BRONZE,James Creek Cider House,Harvest Moon,Traditional Cider - Dry,
2017,🥉 BRONZE,James Creek Cider House,Russetts & 'Twigs,Heritage Cider - Dry,
2017,🥉 BRONZE,James Creek Cider House,Stargazer Cider - Big Dipper,Modern Cider - Sweet,
2017,🥉 BRONZE,James Creek Cider House,Stargazer Cider - Mighty Hunter,Modern Cider - Dry,
2017,🥉 BRONZE,James Creek Cider House,Summer Gold,Heritage Cider - Sweet,
2016,🥉 BRONZE,James Creek Cider House,Harvest Moon Semi-Dry Cider,Heritage Cider,
2016,🥉 BRONZE,James Creek Cider House,Summer Gold Cider,Modern Cider,
2023,🏆 BEST IN CLASS,Jefferson County Ciderworks,Grapefruit Lime,Unlimited Cider and Perry,3rd Place
2023,🥈 SILVER,Jefferson County Ciderworks,Apple Pie,Botanical Cider,
2023,🥈 SILVER,Jefferson County Ciderworks,Cranberry Orange,Specialty Cider and Perry,
2023,🥈 SILVER,Jefferson County Ciderworks,Hibiscus Rose,Botanical Cider,
2023,🥈 SILVER,Jefferson County Ciderworks,Lemon Lavender,Specialty Cider and Perry,
2023,🥈 SILVER,Jefferson County Ciderworks,Original Apple,Modern Cider - Dry,
2023,🥈 SILVER,Jefferson County Ciderworks,Sour Cherry,Specialty Cider and Perry,
2023,🥈 SILVER,Jefferson County Ciderworks,Tropical Pineapple,Fruit Cider,
2023,🥈 SILVER,Jefferson County Ciderworks,Winter Botanical,Botanical Cider,
2023,🥉 BRONZE,Jefferson County Ciderworks,Black & Blueberry,Unlimited Cider and Perry,
2022,🏆 BEST IN CLASS,Jefferson County Ciderworks,Winter Botanical,Botanical Cider,1st Place
2022,🏆 BEST IN CLASS,Jefferson County Ciderworks,Hibiscus Rose,Botanical Cider,2nd Place
2022,🥇 GOLD,Jefferson County Ciderworks,Cranberry Orange,Specialty Cider and Perry,
2022,🥈 SILVER,Jefferson County Ciderworks,Original Apple,Modern Cider - Sweet,
2022,🥈 SILVER,Jefferson County Ciderworks,Passion Orange Guava,Fruit Cider,
2022,🥉 BRONZE,Jefferson County Ciderworks,Sour Cherry,Wood Aged Specialty Cider,
2019,🥇 GOLD,Jefferson County Ciderworks,Hibiscus Rose,Spiced Cider,
2019,🥈 SILVER,Jefferson County Ciderworks,Bits of Brett,Modern Cider - Dry,
2019,🥈 SILVER,Jefferson County Ciderworks,Oaked Sour Cherry,Wood Aged Specialty Cider,
2019,🥉 BRONZE,Jefferson County Ciderworks,Lemon Lavender,Specialty Cider and Perry,
2019,🥉 BRONZE,Jefferson County Ciderworks,OG Apple,Modern Cider - Sweet,
2019,🥉 BRONZE,Jefferson County Ciderworks,Tropical Pineapple,Fruit Cider,
2017,🥈 SILVER,Jefferson County Ciderworks,Oaked Sour Cherry,Specialty Cider and Perry,
2017,🥈 SILVER,Jefferson County Ciderworks,Pineapple Cider,Specialty Cider and Perry,
2017,🥉 BRONZE,Jefferson County Ciderworks,Baby Brett: Tangerine Cloud,Specialty Cider and Perry,
2017,🥉 BRONZE,Jefferson County Ciderworks,Hibiscus Rose,Specialty Cider and Perry,
2017,🥉 BRONZE,Jefferson County Ciderworks,OG Apple,Wood Aged Cider,
2018,🥈 SILVER,JK's Farmhouse Ciders,Rye Whiskey Barrel Aged Cider,Wood Aged Cider,
2017,🥉 BRONZE,JK's Farmhouse Ciders,JK'S Estate Reserve Apple Blossom Honey Cider,Specialty Cider and Perry,
2014,🥉 BRONZE,JK's Farmhouse Ciders,JK's Scrumpy,New World Cider,
2022,🥇 GOLD,Journey North Cider Co.,Cranberry,Fruit Cider,
2022,🥈 SILVER,Journey North Cider Co.,Blueberry Rosé,Fruit Cider,
2022,🥈 SILVER,Journey North Cider Co.,Flagship Crisp,Modern Cider - Sweet,
2022,🥈 SILVER,Journey North Cider Co.,Mythic,Specialty Cider and Perry,
2022,🥈 SILVER,Journey North Cider Co.,Wassail,Botanical Cider,
2022,🥉 BRONZE,Journey North Cider Co.,Peach Bourbon,Wood Aged Specialty Cider,
2022,🥉 BRONZE,Journey North Cider Co.,Traditional,Heritage Cider - Sweet,
2021,🥈 SILVER,Journey North Cider Co.,Blueberry Rosé,Fruit Cider,
2021,🥈 SILVER,Journey North Cider Co.,Cranberry,Fruit Cider,
2021,🥈 SILVER,Journey North Cider Co.,Crisp,Modern Cider - Sweet,
2021,🥈 SILVER,Journey North Cider Co.,Dry,Modern Cider - Dry,
2021,🥈 SILVER,Journey North Cider Co.,Pineapple,Fruit Cider,
2021,🥈 SILVER,Journey North Cider Co.,Spiced Oak,Wood Aged Specialty Cider,
2021,🥉 BRONZE,Journey North Cider Co.,Apple and Pear,Fruit Cider,
2021,🥉 BRONZE,Journey North Cider Co.,Hopped Grapefruit,Specialty Cider and Perry,
2021,🥉 BRONZE,Journey North Cider Co.,Peach Mint,Specialty Cider and Perry,
2021,🥉 BRONZE,Journey North Cider Co.,Sweet Cherry,Fruit Cider,
2023,🥈 SILVER,Junction Orchard & Cidery,Barrel Aged Whisky Cider,Wood Aged Cider,
2023,🥈 SILVER,Junction Orchard & Cidery,Estate '21,Traditional Cider - Dry,
2023,🥈 SILVER,Junction Orchard & Cidery,Hopped,Hopped Cider,
2023,🥉 BRONZE,Junction Orchard & Cidery,Semi Dry,Modern Cider - Dry,
2022,🥈 SILVER,Junction Orchard & Cidery,Semi-Dry,Modern Cider - Dry,
2022,🥉 BRONZE,Junction Orchard & Cidery,Coffee Cider,Botanical Cider,
2022,🥉 BRONZE,Junction Orchard & Cidery,Hopped Cider,Hopped Cider,
2022,🥉 BRONZE,Junction Orchard & Cidery,Piquette Cider,Specialty Cider and Perry,
2018,🥈 SILVER,Kaneb Orchards,Cranberry Crisp Cider,Fruit Cider,
2018,🥉 BRONZE,Kaneb Orchards,St. Lawrence Cider,Modern Cider - Sweet,
2017,🥈 SILVER,Kaneb Orchards,Cranberry Crisp Cider,Fruit Cider,
2016,🥈 SILVER,Kaneb Orchards,St Lawrence Cider,Modern Cider,
2016,🥉 BRONZE,Kaneb Orchards,Cranberry Crisp Cider,Fruit Cider,
2016,🥉 BRONZE,Kaneb Orchards,Grasse River Still,Modern Cider,
