Medalist,🏆 BIC,🥇 Gold,🥈 Silver,🥉 Bronze,Total,First,Last,Years,City,State_Province,Country,Status,Results,URL,Google,Latitude,Longitude
Ciders from Mars,0,1,4,3,8,2022,2023,2,Staunton,Virginia,United States,Active,https://ciderguide.com/ciders-from-mars/,http://www.cidersfrommars.com/,https://maps.google.com/?cid=15090690392104363674,38.1474916,-79.0742591
Five Maidens Cider Company,0,1,4,3,8,2023,2023,1,Bethlehem,Pennsylvania,United States,Active,https://ciderguide.com/five-maidens-cider-company/,https://5mcider.com/,https://maps.google.com/?cid=17669165397330541520,40.6109554,-75.373349
Dancing Cider Co.,0,1,3,4,8,2022,2022,1,Chungju,North Chungcheong,South Korea,Active,https://ciderguide.com/dancing-cider-co/,http://www.dancingcider.com/,https://maps.google.com/?cid=7853675129819221848,37.0264162,127.8580113
Mawby Vineyards,0,1,3,4,8,2016,2018,3,Suttons Bay,Michigan,United States,Active,https://ciderguide.com/mawby-vineyards/,https://mawby.wine/,https://maps.google.com/?cid=2471409306317185463,44.913676,-85.65229
Freewater Cider and Wine Company,0,1,2,5,8,2018,2021,3,Milton-Freewater,Oregon,United States,Active,https://ciderguide.com/freewater-cider-and-wine-company/,http://www.freewatercider.com/,https://maps.google.com/?cid=3598112635185277642,45.942433,-118.389708
Ironwood Hard Cider,0,1,2,5,8,2016,2019,4,Niagara-on-the-Lake,Ontario,Canada,Active,https://ciderguide.com/ironwood-hard-cider/,http://www.ironwoodcider.ca/,https://maps.google.com/?cid=5b211b40ee750902,43.252604,-79.120363
12 Bridge Ciderworks,0,0,6,2,8,2019,2021,2,Oregon City,Oregon,United States,Inactive,https://ciderguide.com/12-bridge-ciderworks/,,,45.326412,-122.580527
Santa Cruz Cider Co.,0,0,6,2,8,2017,2021,3,Santa Cruz,California,United States,Active,https://ciderguide.com/santa-cruz-cider-co/,http://www.santacruzciderco.com/,https://maps.google.com/?cid=16427348691643937890,36.959789,-122.048975
Kings Mill Cider,0,0,5,3,8,2018,2021,3,Stirling,Ontario,Canada,Active,https://ciderguide.com/kings-mill-cider/,https://kingsmillcider.ca/,https://maps.google.com/?cid=10493408475817410055,44.335137,-77.616518
Right Bee Cider,0,0,5,3,8,2018,2021,3,Chicago,Illinois,United States,Active,https://ciderguide.com/right-bee-cider/,http://www.rightbeecider.com/,https://maps.google.com/?cid=3785946038058251944,41.914519,-87.736933
Junction Orchard & Cidery,0,0,4,4,8,2022,2023,2,Victoria,British Columbia,Canada,Active,https://ciderguide.com/junction-orchard-cidery/,https://www.junctionvictoria.com/,https://maps.google.com/?cid=1598819234316229794,48.5234444,-123.4370793
Ploughman Cider,0,0,4,4,8,2019,2022,2,Aspers,Pennsylvania,United States,Active,https://ciderguide.com/ploughman-cider/,http://ploughmancider.com/,https://maps.google.com/?cid=2013585229631890349,39.98603,-77.297959
Botanist & Barrel,0,0,3,5,8,2019,2022,3,Cedar Grove,North Carolina,United States,Active,https://ciderguide.com/botanist-barrel/,https://www.botanistandbarrel.com/,https://maps.google.com/?cid=1902463006194094884,36.216856,-79.179325
Cellarmen's,0,0,3,5,8,2016,2017,2,Hazel Park,Michigan,United States,Inactive,https://ciderguide.com/cellarmens/,,,42.47091,-83.104109
Serpentine Cider,0,0,3,5,8,2019,2023,2,San Diego,California,United States,Active,https://ciderguide.com/serpentine-cider/,http://www.serpentinecider.com/,https://maps.google.com/?cid=296132755660138594,32.895393,-117.137246
Sidra Somarroza,0,0,2,6,8,2019,2022,3,Renedo de Piélagos,Cantabria,Spain,Active,https://ciderguide.com/sidra-somarroza/,https://sidrasomarroza.es/,https://maps.google.com/?cid=7109045394192195825,43.3529633,-3.9604843
Western Cider,0,0,2,6,8,2018,2018,1,Missoula,Montana,United States,Active,https://ciderguide.com/western-cider/,http://www.westerncider.com/,https://maps.google.com/?cid=14623261427414740204,46.876599,-114.014032
WildCraft Cider Works,0,0,2,6,8,2016,2017,2,Eugene,Oregon,United States,Active,https://ciderguide.com/wildcraft-cider-works/,https://wildcraftciderworks.com/,https://maps.google.com/?cid=15001881032430403771,44.055602,-123.097306
Wild Cider,0,0,1,7,8,2014,2018,3,Firestone,Colorado,United States,Active,https://ciderguide.com/wild-cider/,http://wildcider.com/,https://maps.google.com/?cid=17959127106154260964,40.166464,-104.905465
Renaissance Orchards,2,1,2,2,7,2016,2022,5,Ferndale,Washington,United States,Active,https://ciderguide.com/renaissance-orchards/,https://renaissanceorchards.com/,https://maps.google.com/?cid=8299199662211416163,48.834936,-122.640266
Sidra Fanjul,2,0,4,1,7,2013,2019,6,Siero,Asturias,Spain,Active,https://ciderguide.com/sidra-fanjul/,https://www.sidrafanjul.com/,https://maps.google.com/?cid=10647391104326148313,43.370866,-5.754482
Jaanihanso Cider,2,0,3,2,7,2017,2018,2,Kaelase,Pärnu,Estonia,Active,https://ciderguide.com/jaanihanso-cider/,http://www.jaanihanso.ee/,https://maps.google.com/?cid=7606641832512391290,58.6955057,24.5206078
Corey Lake Orchards,1,0,3,3,7,2017,2018,2,Three Rivers,Michigan,United States,Active,https://ciderguide.com/corey-lake-orchards/,http://www.coreylakeorchards.com/,https://maps.google.com/?cid=6754574994081328972,41.919986,-85.718213
Gary Awdey,0,2,1,4,7,2016,2021,3,Valparaiso,Indiana,United States,Inactive,https://ciderguide.com/gary-awdey/,,,41.47309,-87.06114
Critz Farms,0,1,4,2,7,2016,2019,2,Cazenovia,New York,United States,Active,https://ciderguide.com/critz-farms/,https://www.critzfarms.com/,https://maps.google.com/?cid=7831833744661110756,42.880641,-75.873523
Black Apple,0,1,3,3,7,2021,2023,2,Springdale,Arkansas,United States,Active,https://ciderguide.com/black-apple/,https://www.blackapplehardcider.com/,https://maps.google.com/?cid=5449257929643515916,36.18487,-94.127403
Headwater Cider,0,1,3,3,7,2015,2021,5,Hawley,Massachusetts,United States,Active,https://ciderguide.com/headwater-cider/,http://www.headwatercider.com/,https://maps.google.com/?cid=10677507708826586466,42.58249,-72.860053
Island Folk Cider House,0,0,6,1,7,2022,2023,2,Sydney,Nova Scotia,Canada,Active,https://ciderguide.com/island-folk-cider-house/,https://www.islandfolkcider.ca/,https://maps.google.com/?cid=16503578670375092154,46.1428047,-60.1955871
Posterity Ciderworks,0,0,5,2,7,2021,2022,2,Mokelumne Hill,California,United States,Active,https://ciderguide.com/posterity-ciderworks/,https://posterityciderworks.com/,https://maps.google.com/?cid=12556482300952119386,38.2969506,-120.7076974
B. Nektar,0,0,4,3,7,2017,2022,3,Ferndale,Michigan,United States,Active,https://ciderguide.com/b-nektar/,http://www.bnektar.com/,https://maps.google.com/?cid=8558313972907611413,42.456877,-83.113432
Cidrerie McKeown,0,0,4,3,7,2017,2022,2,Rougemont,Quebec,Canada,Active,https://ciderguide.com/cidrerie-mckeown/,https://www.cidremckeown.com/,https://maps.google.com/?cid=14828880461334289891,45.44444,-73.069221
Empire Cider Company,0,0,4,3,7,2017,2018,2,Geneva,New York,United States,Inactive,https://ciderguide.com/empire-cider-company/,,,42.872345,-77.008276
Lindner's Cider,0,0,4,3,7,2021,2021,1,Hamden,New York,United States,Active,https://ciderguide.com/lindners-cider/,https://www.lindnerscider.com/,https://maps.google.com/?cid=5790694409805640354,42.170095,-75.018056
St. Ambrose Cellars,0,0,4,3,7,2015,2016,2,Beulah,Michigan,United States,Active,https://ciderguide.com/st-ambrose-cellars/,https://www.stambrose-mead-wine.com/,https://maps.google.com/?cid=15684792512273738710,44.618196,-85.998147
String Theory Cider,0,0,3,4,7,2021,2023,3,Cumberland,Wisconsin,United States,Active,https://ciderguide.com/string-theory-cider/,https://stringtheorycider.com/,,45.5309002,-92.0212919
Apple Outlaw,0,0,2,5,7,2015,2017,2,Jacksonville,Oregon,United States,Active,https://ciderguide.com/apple-outlaw/,http://www.appleoutlaw.com/,https://maps.google.com/?cid=5850813650004409160,42.135329,-123.239648
Flint City Hard Cider Co.,0,0,2,5,7,2016,2022,5,Flint,Michigan,United States,Inactive,https://ciderguide.com/flint-city-hard-cider-co/,,,43.021453,-83.69504
Mississippi Ale House,0,0,2,5,7,2018,2023,3,Olive Branch,Mississippi,United States,Active,https://ciderguide.com/mississippi-ale-house/,https://mississippialehouse.com/,https://maps.google.com/?cid=3852212290293896708,34.9631296,-89.8268168
Red Clay Ciderworks,0,0,2,5,7,2018,2018,1,Charlotte,North Carolina,United States,Active,https://ciderguide.com/red-clay-ciderworks/,http://redclayciderworks.com/,https://maps.google.com/?cid=4377108592727573925,35.194573,-80.874782
Revel Cider Company,0,0,2,5,7,2015,2017,3,Hamilton,Ontario,Canada,Active,https://ciderguide.com/revel-cider-company/,http://revelcider.ca/,https://goo.gl/maps/PfmHnskMkPE2,43.236298,-79.741607
Swilled Dog Hard Cider,0,0,2,5,7,2017,2021,3,Franklin,West Virginia,United States,Active,https://ciderguide.com/swilled-dog-hard-cider/,http://www.swilleddog.com/,https://maps.google.com/?cid=16690532979393529763,38.7831416,-79.2850581
Frecon Farms,0,0,1,6,7,2013,2015,3,Reading,Pennsylvania,United States,Active,https://ciderguide.com/frecon-farms/,http://www.freconfarms.com/,https://maps.google.com/?cid=8468164925776922213,40.328401,-75.647477
Ferme de Romilly,4,1,0,1,6,2018,2018,1,Saint-Germain-du-Pert,Calvados,France,Active,https://ciderguide.com/ferme-de-romilly/,https://vergersderomilly.com/,https://maps.google.com/?cid=6728302118795319623,49.3382641,-1.0293343
Red Island Cider,1,1,2,2,6,2021,2023,2,Charlottetown,Prince Edward Island,Canada,Active,https://ciderguide.com/red-island-cider/,https://redislandcider.com/,https://maps.google.com/?cid=17967681326263840117,46.2453598,-63.1244046
Idol Cider House,1,0,4,1,6,2022,2023,2,Turner,Oregon,United States,Active,https://ciderguide.com/idol-cider-house/,https://idyll-acres.com/,,44.7501765,-122.918168
Warwick Valley Winery & Distillery,1,0,3,2,6,2009,2013,2,Warwick,New York,United States,Active,https://ciderguide.com/warwick-valley-winery-distillery/,http://www.wvwinery.com/,https://maps.google.com/?cid=1834058951156072833,41.29121,-74.439717
Fenn Valley Vineyards,0,2,2,2,6,2022,2023,2,Fennville,Michigan,United States,Active,https://ciderguide.com/fenn-valley-vineyards/,https://www.fennvalley.com/,https://maps.google.com/?cid=4038197022279286991,42.577827,-86.144125
C.E.Petch Cidery and Distillery,0,1,4,1,6,2019,2021,2,Hemmingford,Quebec,Canada,Active,https://ciderguide.com/c-e-petch-cidery-and-distillery/,https://www.cepetch.ca/,https://maps.google.com/?cid=4761400511268048571,45.0458072,-73.596354
Riverhead Ciderhouse,0,1,4,1,6,2018,2021,3,Riverhead,New York,United States,Active,https://ciderguide.com/riverhead-ciderhouse/,http://riverheadcider.com/,https://maps.google.com/?cid=5566760778956005917,40.958383,-72.729308
Devoto Orchards Cider,0,1,3,2,6,2013,2015,3,Sebastopol,California,United States,Inactive,https://ciderguide.com/devoto-orchards-cider/,,,38.388874,-122.865391
Little Apple Cidery,0,1,3,2,6,2021,2023,3,Hillsdale,New York,United States,Active,https://ciderguide.com/little-apple-cidery/,https://littleapplecidery.com/,https://maps.google.com/?cid=12638891274367653697,42.2158739,-73.5186273
Weidmann & Groh,0,1,3,2,6,2013,2014,2,Friedberg-Ockstadt,Hesse,Germany,Active,https://ciderguide.com/weidmann-groh/,https://weidmann-groh.de/,https://maps.google.com/?cid=6569120976887073603,50.3305754,8.7244989
Williamson Mead and Brewing,0,1,2,3,6,2022,2023,2,Glade Valley,North Carolina,United States,Active,https://ciderguide.com/williamson-mead-and-brewing/,https://williamsonbrewing.com/,https://www.google.com/maps?cid=9398213946413041794,36.4756637,-80.9887261
Green Bird Cellars,0,1,1,4,6,2012,2015,4,Northport,Michigan,United States,Active,https://ciderguide.com/green-bird-cellars/,http://www.greenbirdcellars.com/,https://maps.google.com/?cid=10177780962923415301,45.108463,-85.65037
Raging Cider & Mead,0,1,1,4,6,2018,2019,2,San Marcos,California,United States,Active,https://ciderguide.com/raging-cider-mead/,http://www.ragingcidermead.com/,https://maps.google.com/?cid=4063834740320553778,33.144079,-117.18753
Willow Oaks,0,1,1,4,6,2021,2022,2,Middletown,Maryland,United States,Active,https://ciderguide.com/willow-oaks/,http://willowoakscraftcider.com/,https://maps.google.com/?cid=6526035871523748724,39.402881,-77.576441
Bløm Meadworks,0,0,5,1,6,2021,2023,3,Ann Arbor,Michigan,United States,Active,https://ciderguide.com/blom-meadworks/,http://www.drinkblom.com/,https://maps.google.com/?cid=5653653516856181818,42.2810318,-83.747518
Falconer Vineyards,0,0,4,2,6,2017,2019,3,Red Wing,Minnesota,United States,Active,https://ciderguide.com/falconer-vineyards/,http://www.falconervineyards.com/,https://maps.google.com/?cid=8340163893550423966,44.557381,-92.59406
Urban Forage Winery & Cider House,0,0,4,2,6,2017,2022,2,Minneapolis,Minnesota,United States,Active,https://ciderguide.com/urban-forage-winery-cider-house/,http://urbanforagewinery.com/,https://maps.google.com/?cid=16453140758915321302,44.948571,-93.227734
Ambrosia Orchard,0,0,3,3,6,2019,2022,2,Hoagland,Indiana,United States,Active,https://ciderguide.com/ambrosia-orchard/,https://www.ambrosiaorchardfw.com/,https://maps.google.com/?cid=1903288370342884796,40.953615,-85.064073
Blossom Barn Cidery,0,0,3,3,6,2021,2023,3,Grants Pass,Oregon,United States,Active,https://ciderguide.com/blossom-barn-cidery/,https://www.blossombarncidery.com/,https://maps.google.com/?cid=14832421242351860515,42.3165297,-123.2308841
Liquid Art Winery,0,0,3,3,6,2019,2019,1,Manhattan,Kansas,United States,Active,https://ciderguide.com/liquid-art-winery/,https://www.liquidartwinery.com/,https://maps.google.com/?cid=9096837132350645027,39.1924003,-96.6778549
OK Cider Co,0,0,3,3,6,2022,2022,1,Oklahoma City,Oklahoma,United States,Active,https://ciderguide.com/ok-cider-co/,https://okciderco.com/,https://maps.google.com/?cid=14630301903407867537,35.4670261,-97.5247456
Redbyrd Orchard Cider,0,0,3,3,6,2013,2014,2,Trumansburg,New York,United States,Active,https://ciderguide.com/redbyrd-orchard-cider/,https://redbyrdorchardcider.com/,https://maps.google.com/?cid=10591381775381095701,42.500194,-76.639118
Stone Circle Cider,0,0,3,3,6,2018,2021,2,Estacada,Oregon,United States,Active,https://ciderguide.com/stone-circle-cider/,http://stonecirclecider.com/,https://maps.google.com/?cid=6649334225519073300,45.27771,-122.284894
Talbott's Cider Company,0,0,3,3,6,2018,2021,2,Palisade,Colorado,United States,Active,https://ciderguide.com/talbotts-cider-company/,http://talbottsciderco.com/,https://maps.google.com/?cid=11602953526890800348,39.097123,-108.349759
Cider House of Wisconsin,0,0,2,4,6,2014,2019,3,McFarland,Wisconsin,United States,Inactive,https://ciderguide.com/cider-house-of-wisconsin/,,,42.982849,-89.329972
Kekionga Craft Company,0,0,2,4,6,2018,2019,2,Fort Wayne,Indiana,United States,Active,https://ciderguide.com/kekionga-craft-company/,http://kekiongaciderco.com/,https://maps.google.com/?cid=6397238888360308523,41.098914,-85.044471
Nomad Cidery,0,0,2,4,6,2017,2018,2,Williamsburg,Michigan,United States,Inactive,https://ciderguide.com/nomad-cidery/,,,44.772385,-85.4418419
Sourwood Cider,0,0,2,4,6,2018,2019,2,Halifax,Nova Scotia,Canada,Active,https://ciderguide.com/sourwood-cider/,https://www.sourwoodcider.com/,,44.6395722,-63.6644932
St. Julian Winery,0,0,2,4,6,2015,2019,3,Paw Paw,Michigan,United States,Active,https://ciderguide.com/st-julian-winery/,http://www.stjulian.com/,https://maps.google.com/?cid=2249622530303383968,42.212252,-85.891725
Tall Ship Craft Cider / Fjordfolk Mikrobryggeri,0,0,2,4,6,2021,2021,1,Sandefjord,Vestfold og Telemark,Norway,Active,https://ciderguide.com/tall-ship-craft-cider-fjordfolk-mikrobryggeri/,https://www.fjordfolkbrygg.no/,https://maps.google.com/?cid=13187877260143472555,59.1213376,10.231588
Cherry Creek Cellars,0,0,1,5,6,2015,2018,4,Albion,Michigan,United States,Active,https://ciderguide.com/cherry-creek-cellars/,http://www.cherrycreekwine.com/,https://maps.google.com/?cid=5214593983043043226,42.0504311,-84.301136
Wild Hare Cider,0,0,1,5,6,2016,2019,3,Bluemont,Virginia,United States,Active,https://ciderguide.com/wild-hare-cider/,http://wildharecider.com/,https://maps.google.com/?cid=8734946051812732441,39.110623,-77.833609
Bridgehouse Cider,1,1,2,1,5,2021,2022,2,Long Grove,Iowa,United States,Active,https://ciderguide.com/bridgehouse-cider/,https://bridgehousefarms.com/,https://www.google.com/maps?cid=8619503909723634336,41.712213,-90.471923
Kristof Farms,1,1,2,1,5,2022,2023,2,Yamhill,Oregon,United States,Active,https://ciderguide.com/kristof-farms/,https://www.kristoffarms.com/,,45.3833849,-123.153384
Two Broads Ciderworks,1,1,2,1,5,2021,2021,1,San Luis Obispo,California,United States,Active,https://ciderguide.com/two-broads-ciderworks/,https://twobroadscider.com/,https://maps.google.com/?cid=14445203383659538831,35.259662,-120.644957
Beach Bee Meadery,1,1,1,2,5,2023,2023,1,Long Branch,New Jersey,United States,Active,https://ciderguide.com/beach-bee-meadery/,https://www.beachbeemeadery.com/,https://maps.google.com/?cid=3925888969412189535,40.3090937,-73.98298
Millionaires' Row Cider Co.,1,0,4,0,5,2022,2022,1,Summerland,British Columbia,Canada,Active,https://ciderguide.com/millionaires-row-cider-co/,https://www.millionairesrowcider.com/,https://maps.google.com/?cid=2781064722158334299,49.5904464,-119.7078094
Cornish Cider Company,1,0,2,2,5,2019,2023,3,Cornish,Maine,United States,Active,https://ciderguide.com/cornish-cider-company/,https://cornishcidercompany.com/,https://maps.google.com/?cid=14136144647123342644,43.7971541,-70.7995635
Floribunda,1,0,1,3,5,2022,2023,2,Salorno,South Tyrol,Italy,Active,https://ciderguide.com/floribunda/,https://www.floribunda.it/,https://maps.google.com/?cid=14548393953505771229,46.2431813,11.2153676
Verger Belliveau Orchard,1,0,1,3,5,2015,2021,4,Memramcook,New Brunswick,Canada,Active,https://ciderguide.com/verger-belliveau-orchard/,http://vergerbelliveauorchard.ca/,https://goo.gl/maps/BV6hRzcAe1K2,45.94982,-64.628246
2 Fools Cider,0,2,1,2,5,2019,2021,2,Naperville,Illinois,United States,Inactive,https://ciderguide.com/2-fools-cider/,,,41.775847,-88.188785
Hoity Toity Cellars,0,2,0,3,5,2012,2015,4,Mildmay,Ontario,Canada,Inactive,https://ciderguide.com/hoity-toity-cellars/,,,44.093675,-81.143186
Ardiel Cider House,0,1,2,2,5,2018,2018,1,Clarksburg,Ontario,Canada,Active,https://ciderguide.com/ardiel-cider-house/,https://www.ardielciderhouse.ca/,https://maps.google.com/?cid=14241292138099021385,44.499666,-80.426869
Coastliner Craft Cider,0,1,2,2,5,2017,2019,3,Fredericton,New Brunswick,Canada,Active,https://ciderguide.com/coastliner-craft-cider/,http://www.coastlinercider.com/,,45.9523177,-66.6149142
Diner Brew Co.,0,1,2,2,5,2019,2019,1,Mt. Vernon,New York,United States,Inactive,https://ciderguide.com/diner-brew-co/,,,40.908354,-73.849259
South City Ciderworks,0,1,2,2,5,2019,2019,1,San Bruno,California,United States,Inactive,https://ciderguide.com/south-city-ciderworks/,,,37.639936,-122.412129
Ten Towers Cider Co.,0,1,2,2,5,2017,2019,2,Rickreall,Oregon,United States,Active,https://ciderguide.com/ten-towers-cider-co/,https://www.instagram.com/tentowerscider/,https://maps.google.com/?cid=3422835309115536155,44.9263204,-123.2291874
26 Acre Craft Cider Company,0,1,1,3,5,2017,2018,2,Pelham,Ontario,Canada,Inactive,https://ciderguide.com/26-acre-craft-cider-company/,,,43.037222,-79.328764
Angeles Crest Cider,0,1,1,3,5,2018,2021,3,Canoga Park,California,United States,Inactive,https://ciderguide.com/angeles-crest-cider/,,,34.2053948,-118.5898987
Peak Light Cider,0,0,5,0,5,2022,2022,1,Sauvie Island,Oregon,United States,Active,https://ciderguide.com/peak-light-cider/,https://peaklightcider.com/,https://www.google.com/maps?cid=10958770531628316703,45.6648629,-122.844112
Sunken Paddle Ciderworks,0,0,5,0,5,2021,2023,2,Oshkosh,Wisconsin,United States,Active,https://ciderguide.com/sunken-paddle-ciderworks/,https://www.sunkenpaddle.com/,https://www.google.com/maps?cid=16081756786038525640,44.0015236,-88.5517169
Ironbark Ciderworks,0,0,4,1,5,2023,2023,1,Claremont,California,United States,Active,https://ciderguide.com/ironbark-ciderworks/,https://www.ironbarkciderworks.com/,https://maps.google.com/?cid=8906916779198297766,34.10859,-117.701704
Keuka Craft Ciders,0,0,4,1,5,2018,2019,2,Canisteo,New York,United States,Inactive,https://ciderguide.com/keuka-craft-ciders/,,,42.267302,-77.614778
Santa Sidra Hard Cider,0,0,4,1,5,2015,2016,2,Santa Fe,New Mexico,United States,Inactive,https://ciderguide.com/santa-sidra-hard-cider/,,,35.6608392,-105.987504
Texas Corners Brewing Company,0,0,4,1,5,2017,2018,2,Kalamazoo,Michigan,United States,Active,https://ciderguide.com/texas-corners-brewing-company/,http://texascornersbrewing.com/,https://maps.google.com/?cid=9884252459046416182,42.202294,-85.686559
Urban Farm Fermentory,0,0,4,1,5,2019,2021,2,Portland,Maine,United States,Active,https://ciderguide.com/urban-farm-fermentory/,https://www.fermentory.com/,https://maps.google.com/?cid=11975829594267048308,43.669113,-70.256105
Whitewood Cider Co.,0,0,4,1,5,2014,2015,2,Olympia,Washington,United States,Active,https://ciderguide.com/whitewood-cider-co/,https://www.whitewoodcider.com/,https://maps.google.com/?cid=17959127106154260964,47.0456687,-122.8933489
19 Acres Cider Co.,0,0,3,2,5,2023,2023,1,Sherwood,Oregon,United States,Active,https://ciderguide.com/19-acres-cider-co/,https://19acres.com/,https://www.google.com/maps?cid=4476171369322689525,45.3886798,-122.9315471
Cidre Le Brun,0,0,3,2,5,2016,2019,4,Plovan,Finistère,France,Active,https://ciderguide.com/cidre-le-brun/,https://cidrelebrun.com/,https://maps.google.com/?cid=5387381455239409930,47.925263,-4.344798
Left Field Cider Co.,0,0,3,2,5,2013,2016,3,Logan Lake,British Columbia,Canada,Active,https://ciderguide.com/left-field-cider-co/,http://www.leftfieldcider.com/,https://goo.gl/maps/mjdsN9RFXh12,50.361569,-120.801877
Sheppy's Cider,0,0,3,2,5,2014,2015,2,Taunton,Somerset,United Kingdom,Active,https://ciderguide.com/sheppys-cider/,https://www.sheppyscider.com/,https://maps.google.com/?cid=14572513592829460886,50.9935861,-3.1723149
Odd Brothers Craft Cider,0,0,2,3,5,2019,2019,1,Homer,Michigan,United States,Active,https://ciderguide.com/odd-brothers-craft-cider/,https://www.oddbrotherscider.com/,,42.1364887,-84.8664378
Painted Turtle Hard Cider,0,0,2,3,5,2017,2021,2,Lowell,Michigan,United States,Active,https://ciderguide.com/painted-turtle-hard-cider/,http://www.paintedturtlehardcider.com/,https://maps.google.com/?cid=2497160029912775288,43.027811,-85.371348
Westons Cider,0,0,2,3,5,2009,2011,2,Ledbury,Herefordshire,United Kingdom,Active,https://ciderguide.com/westons-cider/,https://www.westons-cider.co.uk/,https://maps.google.com/?cid=11779156514256391794,51.994817,-2.512396
Nomad Cider,0,0,1,4,5,2018,2018,1,Summerland,British Columbia,Canada,Active,https://ciderguide.com/nomad-cider/,http://www.nomadcider.ca/,https://maps.google.com/?cid=2738922948201032408,49.580647,-119.684279
Ore Creek Craft Cider,0,0,1,4,5,2022,2023,2,Pinckney,Michigan,United States,Active,https://ciderguide.com/ore-creek-craft-cider/,https://orecreekmi.com/,https://maps.google.com/?cid=9044276102436468725,42.4182281,-83.905632
Armagh Cider Company,0,0,0,5,5,2013,2014,2,Portadown,Armagh,United Kingdom,Active,https://ciderguide.com/armagh-cider-company/,http://armaghcider.com/,https://www.google.com/maps?cid=3904542225456152006,54.4045861,-6.4861457
Barrika,2,0,1,1,4,2017,2019,3,New York,New York,United States,Active,https://ciderguide.com/barrika/,https://barrikaimports.com/,,40.710409,-73.918766
Slyboro Ciderhouse,1,0,2,1,4,2008,2008,1,Granville,New York,United States,Active,https://ciderguide.com/slyboro-ciderhouse/,https://www.facebook.com/slyborociderhouse/,https://maps.google.com/?cid=15135981072993122340,43.411532,-73.330994
Valley Cider Company,1,0,2,1,4,2021,2021,1,Duncan,British Columbia,Canada,Active,https://ciderguide.com/valley-cider-company/,https://www.valleycider.com/,https://maps.google.com/?cid=9341553819326173400,48.8370145,-123.7089745
Forbidden Cider Co.,0,1,2,1,4,2014,2017,2,Warkworth,Auckland,New Zealand,Inactive,https://ciderguide.com/forbidden-cider-co/,,,-36.3808039,174.6371632
Wyder's Cider,0,1,2,1,4,2005,2007,2,Oakland,California,United States,Inactive,https://ciderguide.com/wyders-cider/,,,37.8089023,-122.2518736
Yonder Cider,0,1,2,1,4,2022,2022,1,Seattle,Washington,United States,Active,https://ciderguide.com/yonder-cider/,http://www.yondercider.com/,https://www.google.com/maps?cid=11002201593648505227,47.6646136,-122.3675796
Lekker Cider,0,1,1,2,4,2019,2021,2,Calgary,Alberta,Canada,Inactive,https://ciderguide.com/lekker-cider/,,,50.991601,-114.0646122
Rushford Meadery & Winery,0,1,1,2,4,2019,2023,2,Omro,Wisconsin,United States,Active,https://ciderguide.com/rushford-meadery-winery/,http://rushmw.com/,https://maps.google.com/?cid=17650744718098803139,44.0627484,-88.8189843
Boyden Valley Winery & Spirits,0,0,4,0,4,2014,2016,2,Cambridge,Vermont,United States,Active,https://ciderguide.com/boyden-valley-winery-spirits/,http://boydenvalley.com/,https://maps.google.com/?cid=13879612589525640629,44.647436,-72.889201
Whetstone CiderWorks,0,0,4,0,4,2015,2016,2,Marlboro,Vermont,United States,Inactive,https://ciderguide.com/whetstone-ciderworks/,,,42.863815,-72.689529
Willamette Ale & Cider House,0,0,4,0,4,2023,2023,1,West Linn,Oregon,United States,Active,https://ciderguide.com/willamette-ale-cider-house/,http://www.aleandcider.com/,https://maps.google.com/?cid=1271299947970750914,45.344129,-122.65676
Alter Ego Cider,0,0,3,1,4,2019,2019,1,Portland,Oregon,United States,Inactive,https://ciderguide.com/alter-ego-cider/,,,45.519839,-122.659396
Chateau Buffalo,0,0,3,1,4,2007,2008,2,Buffalo,New York,United States,Active,https://ciderguide.com/chateau-buffalo/,http://www.chateaubuffalo.com/,https://maps.google.com/?cid=17647646600280458159,42.872906,-78.821088
Cidrerie Verger Hemmingford,0,0,3,1,4,2015,2016,2,Hemmingford,Quebec,Canada,Active,https://ciderguide.com/cidrerie-verger-hemmingford/,https://www.vhemmingford.com/,https://www.google.com/maps?cid=12057353517641416654,45.045783,-73.5710109
Ela Cider Co.,0,0,3,1,4,2016,2018,3,Rochester,Wisconsin,United States,Inactive,https://ciderguide.com/ela-cider-co/,,,42.744704,-88.247955
Fabbioli Cellars,0,0,3,1,4,2017,2018,2,Leesburg,Virginia,United States,Active,https://ciderguide.com/fabbioli-cellars/,http://www.fabbioliwines.com/,https://maps.google.com/?cid=2655558572560145408,39.182648,-77.519279
Golden State Cider,0,0,3,1,4,2015,2021,3,Graton,California,United States,Active,https://ciderguide.com/golden-state-cider/,https://www.drinkgoldenstate.com/,https://maps.google.com/?cid=18128387073217891419,38.4041073,-122.8198562
Lehman's Orchards,0,0,3,1,4,2009,2011,2,Buchanan,Michigan,United States,Active,https://ciderguide.com/lehmans-orchards/,https://www.instagram.com/lehmansfarmhouse/,https://maps.google.com/?cid=15791562542672343306,41.8286715,-86.3576005
Llagares Valverán,0,0,3,1,4,2013,2023,3,Sariego,Asturias,Spain,Active,https://ciderguide.com/llagares-valveran/,http://www.llagaresvalveran.com/,https://maps.google.com/?cid=10125751207643631112,43.4052509,-5.526005
Market Garden Brewery,0,0,3,1,4,2021,2023,3,Cleveland,Ohio,United States,Active,https://ciderguide.com/market-garden-brewery/,https://www.heartcider.com/,https://maps.google.com/?cid=906730698204701016,41.4850769,-81.7034306
